lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
Persian_Persian,700,871,5,541,87
Persian_German,700,811,5,541,11
Persian_Indonesia,700,1021,5,541,70
Persian_Nubian,700,931,5,541,16
Persian_SouthAsian,700,1081,5,541,81
Persian_CelticEnglish,700,1111,5,541,116
Persian_WestAfrican,700,841,5,541,20
Persian_Romania,700,631,5,541,8
Persian_French,700,901,5,541,16
Persian_Pakistan,700,1051,5,541,48
Persian_Portuguese,700,961,5,541,21
Persian_EastAfrican,700,781,5,541,13
Persian_Maghreb,700,541,5,541,15
Persian_Jewish,700,751,5,541,6
Persian_Chinese,700,721,5,541,5
Persian_Vietnam,700,661,5,541,3
Persian_Spanish,700,991,5,541,14
Persian_Greek,700,601,5,541,2
Persian_Philippines,700,691,5,541,3
German_German,700,811,5,841,332
German_Philippines,700,691,5,841,30
German_Spanish,700,991,5,841,111
German_CelticEnglish,700,1111,5,841,557
German_French,700,901,5,841,68
German_WestAfrican,700,841,5,841,77
German_Sweden,700,151,5,841,2
German_Indonesia,700,1021,5,841,237
German_Vietnam,700,661,5,841,27
German_Portuguese,700,961,5,841,124
German_Denmark,700,61,5,841,2
German_SouthAsian,700,1081,5,841,321
German_Jewish,700,751,5,841,39
German_Pakistan,700,1051,5,841,225
German_Japan,700,481,5,841,11
German_Bangladesh,700,391,5,841,3
German_Chinese,700,721,5,841,16
German_Greek,700,601,5,841,17
German_Turkey,700,571,5,841,47
German_Russian,700,271,5,841,2
German_Nubian,700,931,5,841,62
German_Norway,700,211,5,841,4
German_Italy,700,451,5,841,11
German_EastEuropean,700,301,5,841,1
German_Persian,700,871,5,841,60
German_EastAfrican,700,781,5,841,42
German_Finland,700,91,5,841,1
German_Romania,700,631,5,841,19
German_Maghreb,700,541,5,841,7
German_SouthSlavs,700,331,5,841,2
German_ArabianPeninsula,700,421,5,841,2
German_South Korea,700,511,5,841,5
Spanish_Spanish,700,991,5,961,880
Spanish_German,700,811,5,961,62
Spanish_French,700,901,5,961,146
Spanish_Philippines,700,691,5,961,24
Spanish_South Korea,700,511,5,961,8
Spanish_Portuguese,700,961,5,961,112
Spanish_CelticEnglish,700,1111,5,961,782
Spanish_WestAfrican,700,841,5,961,81
Spanish_Turkey,700,571,5,961,14
Spanish_Jewish,700,751,5,961,28
Spanish_SouthAsian,700,1081,5,961,366
Spanish_Nubian,700,931,5,961,150
Spanish_Pakistan,700,1051,5,961,408
Spanish_Persian,700,871,5,961,111
Spanish_Indonesia,700,1021,5,961,405
Spanish_EastAfrican,700,781,5,961,30
Spanish_Maghreb,700,541,5,961,10
Spanish_Chinese,700,721,5,961,35
Spanish_ArabianPeninsula,700,421,5,961,2
Spanish_Romania,700,631,5,961,25
Spanish_Vietnam,700,661,5,961,29
Spanish_Bangladesh,700,391,5,961,7
Spanish_Italy,700,451,5,961,4
Spanish_Greek,700,601,5,961,9
Spanish_SouthSlavs,700,331,5,961,1
Spanish_Baltics,700,361,5,961,1
Spanish_Japan,700,481,5,961,7
Spanish_Russian,700,271,5,961,3
Spanish_Norway,700,211,5,961,1
Spanish_SouthAfrican,700,241,5,961,1
SouthAsian_SouthAsian,700,1081,5,1021,1080
SouthAsian_German,700,811,5,1021,154
SouthAsian_Spanish,700,991,5,1021,259
