lang,x,y,lang_art,Number_of_connections
Myanmar,5,1,lang_out,6
Cambodia,5,31,lang_out,7
Sweden,5,61,lang_out,27
Denmark,5,91,lang_out,27
Maghreb,5,121,lang_out,43
Thailand,5,151,lang_out,44
Finland,5,181,lang_out,47
Malaysia,5,211,lang_out,81
EastEuropean,5,241,lang_out,112
Russian,5,271,lang_out,172
SouthSlavs,5,301,lang_out,174
Norway,5,331,lang_out,177
Baltics,5,361,lang_out,195
Bangladesh,5,391,lang_out,281
South Korea,5,421,lang_out,282
Pakistan,5,451,lang_out,310
SouthAfrican,5,481,lang_out,407
Greek,5,511,lang_out,518
Persian,5,541,lang_out,555
Japan,5,571,lang_out,569
ArabianPeninsula,5,601,lang_out,591
Romania,5,631,lang_out,673
Turkey,5,661,lang_out,714
Italy,5,691,lang_out,720
Vietnam,5,721,lang_out,1054
Nubian,5,751,lang_out,1127
EastAfrican,5,781,lang_out,1450
Jewish,5,811,lang_out,1978
German,5,841,lang_out,2464
Chinese,5,871,lang_out,2559
Philippines,5,901,lang_out,2677
WestAfrican,5,931,lang_out,2981
Spanish,5,961,lang_out,3742
Portuguese,5,991,lang_out,5356
SouthAsian,5,1021,lang_out,5691
French,5,1051,lang_out,6402
Indonesia,5,1081,lang_out,8351
CelticEnglish,5,1111,lang_out,80955
Myanmar,700,1,lang_in,1
Cambodia,700,31,lang_in,2
Denmark,700,61,lang_in,8
Finland,700,91,lang_in,14
Thailand,700,121,lang_in,16
Sweden,700,151,lang_in,25
Malaysia,700,181,lang_in,25
Norway,700,211,lang_in,31
SouthAfrican,700,241,lang_in,34
Russian,700,271,lang_in,56
EastEuropean,700,301,lang_in,68
SouthSlavs,700,331,lang_in,73
Baltics,700,361,lang_in,80
Bangladesh,700,391,lang_in,142
ArabianPeninsula,700,421,lang_in,181
Italy,700,451,lang_in,190
Japan,700,481,lang_in,231
South Korea,700,511,lang_in,356
Maghreb,700,541,lang_in,454
Turkey,700,571,lang_in,618
Greek,700,601,lang_in,834
Romania,700,631,lang_in,1069
Vietnam,700,661,lang_in,1252
Philippines,700,691,lang_in,1343
Chinese,700,721,lang_in,1426
Jewish,700,751,lang_in,1542
EastAfrican,700,781,lang_in,1962
German,700,811,lang_in,3078
WestAfrican,700,841,lang_in,3121
Persian,700,871,lang_in,3341
French,700,901,lang_in,4565
Nubian,700,931,lang_in,4929
Portuguese,700,961,lang_in,5591
Spanish,700,991,lang_in,6575
Indonesia,700,1021,lang_in,16183
Pakistan,700,1051,lang_in,18006
SouthAsian,700,1081,lang_in,18569
CelticEnglish,700,1111,lang_in,37528
