lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
SouthAsian_Jewish,700,841,5,691,4
SouthAsian_SouthAsian,700,751,5,691,9
SouthAsian_Spanish,700,721,5,691,2
SouthAsian_German,700,931,5,691,12
SouthAsian_EastAfrican,700,511,5,691,2
SouthAsian_CelticEnglish,700,901,5,691,3
SouthAsian_Nubian,700,661,5,691,1
SouthAsian_Indonesia,700,781,5,691,1
Vietnam_French,700,871,5,421,3
Vietnam_German,700,931,5,421,3
Vietnam_CelticEnglish,700,901,5,421,1
Vietnam_Jewish,700,841,5,421,1
Vietnam_Sweden,700,541,5,421,1
German_Portuguese,700,811,5,871,38
German_CelticEnglish,700,901,5,871,98
German_German,700,931,5,871,436
German_Russian,700,361,5,871,4
German_Persian,700,301,5,871,4
German_Italy,700,571,5,871,7
German_Malaysia,700,481,5,871,2
German_French,700,871,5,871,55
German_Spanish,700,721,5,871,19
German_Indonesia,700,781,5,871,15
German_SouthAsian,700,751,5,871,24
German_Chinese,700,691,5,871,14
German_Norway,700,211,5,871,3
German_Philippines,700,631,5,871,9
German_EastAfrican,700,511,5,871,3
German_Jewish,700,841,5,871,39
German_WestAfrican,700,601,5,871,10
German_Romania,700,451,5,871,3
German_Nubian,700,661,5,871,10
German_Turkey,700,1,5,871,1
German_Vietnam,700,391,5,871,1
German_Finland,700,271,5,871,3
German_Sweden,700,541,5,871,3
German_EastEuropean,700,331,5,871,2
German_Japan,700,421,5,871,7
German_Greek,700,181,5,871,1
German_Thailand,700,31,5,871,1
German_Baltics,700,61,5,871,1
German_Denmark,700,151,5,871,2
German_ArabianPeninsula,700,91,5,871,1
Russian_French,700,871,5,481,1
Russian_Indonesia,700,781,5,481,1
Russian_SouthAsian,700,751,5,481,2
Russian_Portuguese,700,811,5,481,1
Russian_Vietnam,700,391,5,481,2
Russian_German,700,931,5,481,1
Russian_CelticEnglish,700,901,5,481,1
Russian_Russian,700,361,5,481,1
Indonesia_CelticEnglish,700,901,5,721,6
Indonesia_Romania,700,451,5,721,1
Indonesia_German,700,931,5,721,5
Indonesia_Indonesia,700,781,5,721,20
Indonesia_French,700,871,5,721,5
Indonesia_Spanish,700,721,5,721,1
Indonesia_Portuguese,700,811,5,721,1
Indonesia_Chinese,700,691,5,721,1
Jewish_Nubian,700,661,5,781,1
Jewish_German,700,931,5,781,14
Jewish_Jewish,700,841,5,781,16
Jewish_Italy,700,571,5,781,1
Jewish_Spanish,700,721,5,781,3
Jewish_Chinese,700,691,5,781,1
Jewish_Portuguese,700,811,5,781,1
Jewish_CelticEnglish,700,901,5,781,3
Jewish_EastAfrican,700,511,5,781,1
Jewish_WestAfrican,700,601,5,781,1
Jewish_SouthAsian,700,751,5,781,4
Jewish_French,700,871,5,781,1
Jewish_Finland,700,271,5,781,1
French_German,700,931,5,811,40
French_French,700,871,5,811,14
French_Portuguese,700,811,5,811,6
French_EastEuropean,700,331,5,811,1
French_CelticEnglish,700,901,5,811,9
French_Indonesia,700,781,5,811,6
French_Jewish,700,841,5,811,4
French_Vietnam,700,391,5,811,1
French_SouthAsian,700,751,5,811,2
French_Sweden,700,541,5,811,1
French_Spanish,700,721,5,811,3
French_WestAfrican,700,601,5,811,1
