lang,x,y,lang_art,Number_of_connections
Japan,5,1,lang_out,1
ArabianPeninsula,5,31,lang_out,1
Baltics,5,61,lang_out,1
Norway,5,91,lang_out,1
Finland,5,121,lang_out,1
EastEuropean,5,151,lang_out,2
Turkey,5,181,lang_out,2
South Korea,5,211,lang_out,3
Greek,5,241,lang_out,3
WestAfrican,5,271,lang_out,3
Romania,5,301,lang_out,4
SouthSlavs,5,331,lang_out,4
EastAfrican,5,361,lang_out,5
Persian,5,391,lang_out,5
Vietnam,5,421,lang_out,9
Sweden,5,451,lang_out,9
Russian,5,481,lang_out,10
Malaysia,5,511,lang_out,10
Philippines,5,541,lang_out,12
Nubian,5,571,lang_out,13
Italy,5,601,lang_out,17
Chinese,5,631,lang_out,23
Spanish,5,661,lang_out,27
SouthAsian,5,691,lang_out,34
Indonesia,5,721,lang_out,40
Portuguese,5,751,lang_out,46
Jewish,5,781,lang_out,48
French,5,811,lang_out,94
CelticEnglish,5,841,lang_out,154
German,5,871,lang_out,816
Turkey,700,1,lang_in,1
Thailand,700,31,lang_in,1
Baltics,700,61,lang_in,1
ArabianPeninsula,700,91,lang_in,2
South Korea,700,121,lang_in,3
Denmark,700,151,lang_in,3
Greek,700,181,lang_in,3
Norway,700,211,lang_in,4
SouthSlavs,700,241,lang_in,4
Finland,700,271,lang_in,4
Persian,700,301,lang_in,5
EastEuropean,700,331,lang_in,5
Russian,700,361,lang_in,6
Vietnam,700,391,lang_in,6
Japan,700,421,lang_in,7
Romania,700,451,lang_in,9
Malaysia,700,481,lang_in,9
EastAfrican,700,511,lang_in,9
Sweden,700,541,lang_in,9
Italy,700,571,lang_in,12
WestAfrican,700,601,lang_in,12
Philippines,700,631,lang_in,15
Nubian,700,661,lang_in,23
Chinese,700,691,lang_in,25
Spanish,700,721,lang_in,35
SouthAsian,700,751,lang_in,50
Indonesia,700,781,lang_in,50
Portuguese,700,811,lang_in,75
Jewish,700,841,lang_in,76
French,700,871,lang_in,96
CelticEnglish,700,901,lang_in,213
German,700,931,lang_in,625
