lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
Spanish_German,700,1051,5,901,57
Spanish_French,700,961,5,901,5
Spanish_Spanish,700,931,5,901,24
Spanish_WestAfrican,700,811,5,901,6
Spanish_Jewish,700,1021,5,901,7
Spanish_Indonesia,700,871,5,901,2
Spanish_Chinese,700,721,5,901,1
Spanish_Nubian,700,691,5,901,2
Spanish_CelticEnglish,700,991,5,901,24
Spanish_SouthAsian,700,841,5,901,4
Spanish_Portuguese,700,901,5,901,9
Spanish_ArabianPeninsula,700,331,5,901,1
Spanish_Finland,700,211,5,901,1
Spanish_Norway,700,571,5,901,1
Spanish_EastAfrican,700,751,5,901,2
Spanish_Vietnam,700,511,5,901,1
Spanish_Italy,700,601,5,901,1
German_German,700,1051,5,1021,976
German_Norway,700,571,5,1021,14
German_Bangladesh,700,271,5,1021,6
German_Indonesia,700,871,5,1021,52
German_WestAfrican,700,811,5,1021,42
German_Chinese,700,721,5,1021,20
German_Vietnam,700,511,5,1021,8
German_CelticEnglish,700,991,5,1021,214
German_Romania,700,631,5,1021,15
German_Portuguese,700,901,5,1021,71
German_Jewish,700,1021,5,1021,60
German_French,700,961,5,1021,99
German_Spanish,700,931,5,1021,93
German_SouthAsian,700,841,5,1021,46
German_Greek,700,781,5,1021,15
German_EastAfrican,700,751,5,1021,23
German_Denmark,700,451,5,1021,6
German_Russian,700,541,5,1021,8
German_Turkey,700,421,5,1021,8
German_Persian,700,361,5,1021,4
German_Nubian,700,691,5,1021,18
German_Italy,700,601,5,1021,15
German_Philippines,700,661,5,1021,19
German_Finland,700,211,5,1021,3
German_Japan,700,481,5,1021,11
German_South Korea,700,301,5,1021,6
German_SouthSlavs,700,391,5,1021,3
German_ArabianPeninsula,700,331,5,1021,4
German_Malaysia,700,241,5,1021,3
German_EastEuropean,700,181,5,1021,4
German_Sweden,700,121,5,1021,2
German_Myanmar,700,31,5,1021,1
German_Pakistan,700,91,5,1021,1
German_Baltics,700,61,5,1021,1
Indonesia_CelticEnglish,700,991,5,841,14
Indonesia_German,700,1051,5,841,28
Indonesia_Indonesia,700,871,5,841,23
Indonesia_Chinese,700,721,5,841,2
Indonesia_Denmark,700,451,5,841,2
Indonesia_Portuguese,700,901,5,841,4
Indonesia_Jewish,700,1021,5,841,3
Indonesia_Philippines,700,661,5,841,1
Indonesia_SouthAsian,700,841,5,841,3
Indonesia_French,700,961,5,841,4
Indonesia_Spanish,700,931,5,841,5
Indonesia_WestAfrican,700,811,5,841,5
Indonesia_EastAfrican,700,751,5,841,2
Indonesia_SouthAfrican,700,151,5,841,1
Indonesia_Persian,700,361,5,841,1
Indonesia_Italy,700,601,5,841,1
French_German,700,1051,5,931,59
French_EastAfrican,700,751,5,931,2
French_French,700,961,5,931,89
French_Indonesia,700,871,5,931,5
French_SouthAsian,700,841,5,931,4
French_Spanish,700,931,5,931,5
French_CelticEnglish,700,991,5,931,20
French_Nubian,700,691,5,931,2
French_Portuguese,700,901,5,931,4
French_Norway,700,571,5,931,1
French_Vietnam,700,511,5,931,1
French_Russian,700,541,5,931,2
French_Philippines,700,661,5,931,3
French_Romania,700,631,5,931,1
French_WestAfrican,700,811,5,931,3
French_Jewish,700,1021,5,931,4
French_SouthAfrican,700,151,5,931,2
French_Italy,700,601,5,931,1
French_Chinese,700,721,5,931,1
Portuguese_German,700,1051,5,871,35
Portuguese_Indonesia,700,871,5,871,4
Portuguese_CelticEnglish,700,991,5,871,14
Portuguese_Portuguese,700,901,5,871,30
Portuguese_Jewish,700,1021,5,871,5
Portuguese_Chinese,700,721,5,871,2
Portuguese_Italy,700,601,5,871,1
Portuguese_Spanish,700,931,5,871,6
Portuguese_Pakistan,700,91,5,871,1
Portuguese_French,700,961,5,871,3
Portuguese_Greek,700,781,5,871,1
Portuguese_Nubian,700,691,5,871,2
Portuguese_EastAfrican,700,751,5,871,1
Portuguese_Romania,700,631,5,871,1
Portuguese_WestAfrican,700,811,5,871,2
Philippines_German,700,1051,5,601,7
Philippines_CelticEnglish,700,991,5,601,2
Philippines_French,700,961,5,601,2
Philippines_Philippines,700,661,5,601,6
Philippines_Italy,700,601,5,601,1
Philippines_Russian,700,541,5,601,1
Philippines_Persian,700,361,5,601,1
Philippines_Portuguese,700,901,5,601,2
Philippines_Spanish,700,931,5,601,1
CelticEnglish_CelticEnglish,700,991,5,961,118
CelticEnglish_Indonesia,700,871,5,961,12
CelticEnglish_French,700,961,5,961,17
CelticEnglish_Jewish,700,1021,5,961,14
