lang,x,y,lang_art,Number_of_connections
Baltics,5,1,lang_out,1
EastEuropean,5,31,lang_out,1
Finland,5,61,lang_out,2
ArabianPeninsula,5,91,lang_out,2
Bangladesh,5,121,lang_out,2
South Korea,5,151,lang_out,3
SouthAfrican,5,181,lang_out,4
Thailand,5,211,lang_out,4
Malaysia,5,241,lang_out,5
Persian,5,271,lang_out,5
Japan,5,301,lang_out,6
Denmark,5,331,lang_out,7
Russian,5,361,lang_out,9
SouthSlavs,5,391,lang_out,9
EastAfrican,5,421,lang_out,13
Pakistan,5,451,lang_out,13
Chinese,5,481,lang_out,15
Norway,5,511,lang_out,16
Romania,5,541,lang_out,16
Turkey,5,571,lang_out,19
Philippines,5,601,lang_out,23
WestAfrican,5,631,lang_out,23
Italy,5,661,lang_out,24
Sweden,5,691,lang_out,26
Nubian,5,721,lang_out,41
Vietnam,5,751,lang_out,43
Greek,5,781,lang_out,60
SouthAsian,5,811,lang_out,66
Indonesia,5,841,lang_out,99
Portuguese,5,871,lang_out,108
Spanish,5,901,lang_out,148
French,5,931,lang_out,209
CelticEnglish,5,961,lang_out,337
Jewish,5,991,lang_out,952
German,5,1021,lang_out,1871
Maghreb,700,1,lang_in,1
Myanmar,700,31,lang_in,1
Baltics,700,61,lang_in,1
Pakistan,700,91,lang_in,3
Sweden,700,121,lang_in,4
SouthAfrican,700,151,lang_in,5
EastEuropean,700,181,lang_in,5
Finland,700,211,lang_in,6
Malaysia,700,241,lang_in,6
Bangladesh,700,271,lang_in,7
South Korea,700,301,lang_in,7
ArabianPeninsula,700,331,lang_in,7
Persian,700,361,lang_in,10
SouthSlavs,700,391,lang_in,10
Turkey,700,421,lang_in,11
Denmark,700,451,lang_in,12
Japan,700,481,lang_in,15
Vietnam,700,511,lang_in,17
Russian,700,541,lang_in,18
Norway,700,571,lang_in,25
Italy,700,601,lang_in,30
Romania,700,631,lang_in,31
Philippines,700,661,lang_in,31
Nubian,700,691,lang_in,32
Chinese,700,721,lang_in,35
EastAfrican,700,751,lang_in,36
Greek,700,781,lang_in,40
WestAfrican,700,811,lang_in,84
SouthAsian,700,841,lang_in,93
Indonesia,700,871,lang_in,115
Portuguese,700,901,lang_in,151
Spanish,700,931,lang_in,178
French,700,961,lang_in,240
CelticEnglish,700,991,lang_in,475
Jewish,700,1021,lang_in,995
German,700,1051,lang_in,1445
