lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
French_French,700,871,5,781,109
French_German,700,931,5,781,22
French_Nubian,700,601,5,781,1
French_Philippines,700,691,5,781,6
French_Indonesia,700,781,5,781,5
French_CelticEnglish,700,901,5,781,14
French_ArabianPeninsula,700,481,5,781,1
French_SouthAsian,700,751,5,781,3
French_Spanish,700,811,5,781,4
French_Italy,700,511,5,781,1
French_Chinese,700,541,5,781,1
French_SouthAfrican,700,31,5,781,1
French_Jewish,700,661,5,781,2
French_Greek,700,331,5,781,1
French_Bangladesh,700,391,5,781,1
French_EastAfrican,700,841,5,781,2
German_German,700,931,5,811,226
German_SouthAsian,700,751,5,811,12
German_Vietnam,700,571,5,811,1
German_French,700,871,5,811,13
German_Indonesia,700,781,5,811,21
German_CelticEnglish,700,901,5,811,41
German_Portuguese,700,721,5,811,12
German_Malaysia,700,91,5,811,2
German_Nubian,700,601,5,811,6
German_WestAfrican,700,631,5,811,4
German_Jewish,700,661,5,811,9
German_Spanish,700,811,5,811,6
German_EastAfrican,700,841,5,811,13
German_Persian,700,301,5,811,2
German_ArabianPeninsula,700,481,5,811,3
German_Chinese,700,541,5,811,4
German_Philippines,700,691,5,811,9
German_Greek,700,331,5,811,2
German_Italy,700,511,5,811,3
German_Romania,700,421,5,811,1
German_Japan,700,151,5,811,1
German_Russian,700,241,5,811,1
German_Bangladesh,700,391,5,811,1
German_Baltics,700,211,5,811,1
German_Sweden,700,181,5,811,1
EastAfrican_Nubian,700,601,5,721,2
EastAfrican_EastAfrican,700,841,5,721,56
EastAfrican_German,700,931,5,721,23
EastAfrican_CelticEnglish,700,901,5,721,10
EastAfrican_SouthAsian,700,751,5,721,4
EastAfrican_Vietnam,700,571,5,721,1
EastAfrican_Indonesia,700,781,5,721,4
EastAfrican_French,700,871,5,721,1
EastAfrican_Philippines,700,691,5,721,1
EastAfrican_Portuguese,700,721,5,721,2
EastAfrican_Spanish,700,811,5,721,2
EastAfrican_Jewish,700,661,5,721,1
EastAfrican_ArabianPeninsula,700,481,5,721,1
Nubian_EastAfrican,700,841,5,541,3
