lang,x,y,lang_art,Number_of_connections
Cambodia,5,1,lang_out,1
SouthAfrican,5,31,lang_out,1
Russian,5,61,lang_out,2
Japan,5,91,lang_out,3
Baltics,5,121,lang_out,3
Philippines,5,151,lang_out,3
Pakistan,5,181,lang_out,4
ArabianPeninsula,5,211,lang_out,5
South Korea,5,241,lang_out,5
Persian,5,271,lang_out,6
Romania,5,301,lang_out,6
Turkey,5,331,lang_out,6
Chinese,5,361,lang_out,7
Sweden,5,391,lang_out,7
Greek,5,421,lang_out,7
Jewish,5,451,lang_out,10
Italy,5,481,lang_out,12
WestAfrican,5,511,lang_out,14
Nubian,5,541,lang_out,26
SouthAsian,5,571,lang_out,37
Indonesia,5,601,lang_out,41
Vietnam,5,631,lang_out,45
Portuguese,5,661,lang_out,48
Spanish,5,691,lang_out,66
EastAfrican,5,721,lang_out,108
CelticEnglish,5,751,lang_out,109
French,5,781,lang_out,174
German,5,811,lang_out,395
Denmark,700,1,lang_in,1
SouthAfrican,700,31,lang_in,1
SouthSlavs,700,61,lang_in,1
Malaysia,700,91,lang_in,2
South Korea,700,121,lang_in,2
Japan,700,151,lang_in,2
Sweden,700,181,lang_in,2
Baltics,700,211,lang_in,2
Russian,700,241,lang_in,3
Turkey,700,271,lang_in,3
Persian,700,301,lang_in,4
Greek,700,331,lang_in,4
Norway,700,361,lang_in,5
Bangladesh,700,391,lang_in,5
Romania,700,421,lang_in,7
Pakistan,700,451,lang_in,7
ArabianPeninsula,700,481,lang_in,8
Italy,700,511,lang_in,9
Chinese,700,541,lang_in,11
Vietnam,700,571,lang_in,13
Nubian,700,601,lang_in,18
WestAfrican,700,631,lang_in,22
Jewish,700,661,lang_in,26
Philippines,700,691,lang_in,37
Portuguese,700,721,lang_in,40
SouthAsian,700,751,lang_in,51
Indonesia,700,781,lang_in,54
Spanish,700,811,lang_in,57
EastAfrican,700,841,lang_in,83
French,700,871,lang_in,152
CelticEnglish,700,901,lang_in,152
German,700,931,lang_in,367
