lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
EastAfrican_Nubian,700,691,5,421,1
EastAfrican_German,700,1051,5,421,7
EastAfrican_Spanish,700,931,5,421,1
EastAfrican_Japan,700,721,5,421,1
EastAfrican_CelticEnglish,700,1021,5,421,5
CelticEnglish_Russian,700,511,5,961,2
CelticEnglish_Spanish,700,931,5,961,24
CelticEnglish_Indonesia,700,811,5,961,14
CelticEnglish_CelticEnglish,700,1021,5,961,145
CelticEnglish_German,700,1051,5,961,99
CelticEnglish_Italy,700,751,5,961,8
CelticEnglish_Jewish,700,871,5,961,32
CelticEnglish_Nubian,700,691,5,961,9
CelticEnglish_Portuguese,700,781,5,961,16
CelticEnglish_SouthAsian,700,901,5,961,19
CelticEnglish_Persian,700,661,5,961,7
CelticEnglish_French,700,961,5,961,48
CelticEnglish_Bangladesh,700,361,5,961,3
CelticEnglish_Japan,700,721,5,961,2
CelticEnglish_WestAfrican,700,841,5,961,27
CelticEnglish_Chinese,700,541,5,961,4
CelticEnglish_EastEuropean,700,481,5,961,1
CelticEnglish_Vietnam,700,991,5,961,1
CelticEnglish_Turkey,700,631,5,961,3
CelticEnglish_Norway,700,121,5,961,1
CelticEnglish_Greek,700,421,5,961,1
CelticEnglish_SouthSlavs,700,241,5,961,1
CelticEnglish_Maghreb,700,271,5,961,1
CelticEnglish_ArabianPeninsula,700,571,5,961,2
CelticEnglish_EastAfrican,700,331,5,961,1
CelticEnglish_Pakistan,700,391,5,961,3
German_Persian,700,661,5,991,10
German_CelticEnglish,700,1021,5,991,262
German_French,700,961,5,991,92
German_German,700,1051,5,991,692
German_Indonesia,700,811,5,991,62
German_WestAfrican,700,841,5,991,29
German_Jewish,700,871,5,991,76
German_Nubian,700,691,5,991,14
German_Spanish,700,931,5,991,81
German_Portuguese,700,781,5,991,62
German_SouthAsian,700,901,5,991,50
German_Italy,700,751,5,991,29
German_EastEuropean,700,481,5,991,14
German_Russian,700,511,5,991,11
German_Turkey,700,631,5,991,8
German_Chinese,700,541,5,991,14
German_Norway,700,121,5,991,3
German_Greek,700,421,5,991,12
German_Romania,700,451,5,991,14
German_Sweden,700,151,5,991,3
German_SouthAfrican,700,181,5,991,2
German_Philippines,700,601,5,991,19
German_ArabianPeninsula,700,571,5,991,6
German_Japan,700,721,5,991,1
German_Denmark,700,301,5,991,5
German_Vietnam,700,991,5,991,3
German_Pakistan,700,391,5,991,1
German_Thailand,700,31,5,991,1
