lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
Persian_fa,700,901,5,541,20
Persian_de,700,1321,5,541,3
Persian_qme,700,1441,5,541,11
Persian_pl,700,931,5,541,1
Persian_en,700,1471,5,541,512
Persian_qht,700,1261,5,541,5
Persian_und,700,1381,5,541,5
Persian_qam,700,1171,5,541,2
Persian_ar,700,1201,5,541,2
Persian_et,700,631,5,541,2
Persian_fr,700,1351,5,541,1
Persian_art,700,871,5,541,2
Persian_es,700,1411,5,541,1
Persian_in,700,1081,5,541,1
German_de,700,1321,5,841,245
German_en,700,1471,5,841,2096
German_es,700,1411,5,841,26
German_qme,700,1441,5,841,38
German_el,700,661,5,841,4
German_pt,700,1141,5,841,1
German_tr,700,1291,5,841,32
German_pl,700,931,5,841,5
German_ht,700,721,5,841,1
German_qht,700,1261,5,841,11
German_und,700,1381,5,841,45
German_fr,700,1351,5,841,5
German_ja,700,1231,5,841,8
German_it,700,1051,5,841,8
German_qam,700,1171,5,841,4
German_et,700,631,5,841,2
German_ar,700,1201,5,841,2
German_in,700,1081,5,841,1
German_tl,700,961,5,841,1
German_no,700,571,5,841,1
German_nl,700,1021,5,841,9
German_cs,700,811,5,841,1
German_sv,700,361,5,841,1
German_uk,700,151,5,841,1
German_art,700,871,5,841,1
German_qst,700,841,5,841,1
Spanish_de,700,1321,5,961,26
Spanish_es,700,1411,5,961,339
Spanish_da,700,541,5,961,2
Spanish_fr,700,1351,5,961,68
Spanish_en,700,1471,5,961,3211
Spanish_fa,700,901,5,961,3
Spanish_pt,700,1141,5,961,32
Spanish_und,700,1381,5,961,63
Spanish_ca,700,991,5,961,7
Spanish_no,700,571,5,961,3
Spanish_ht,700,721,5,961,1
Spanish_qme,700,1441,5,961,48
Spanish_it,700,1051,5,961,3
Spanish_ar,700,1201,5,961,4
Spanish_ro,700,511,5,961,2
Spanish_is,700,181,5,961,1
Spanish_tr,700,1291,5,961,11
Spanish_pl,700,931,5,961,2
Spanish_qht,700,1261,5,961,43
Spanish_qam,700,1171,5,961,9
Spanish_ja,700,1231,5,961,7
Spanish_tl,700,961,5,961,7
Spanish_qst,700,841,5,961,2
Spanish_zxx,700,1111,5,961,3
Spanish_ml,700,61,5,961,1
Spanish_ko,700,751,5,961,1
Spanish_art,700,871,5,961,1
Spanish_in,700,1081,5,961,2
Spanish_iw,700,331,5,961,3
SouthAsian_de,700,1321,5,1021,35
SouthAsian_en,700,1471,5,1021,5515
SouthAsian_es,700,1411,5,1021,43
SouthAsian_pt,700,1141,5,1021,11
SouthAsian_ca,700,991,5,1021,9
SouthAsian_ja,700,1231,5,1021,26
SouthAsian_und,700,1381,5,1021,53
SouthAsian_fr,700,1351,5,1021,18
SouthAsian_pl,700,931,5,1021,3
SouthAsian_qme,700,1441,5,1021,107
SouthAsian_zxx,700,1111,5,1021,15
SouthAsian_et,700,631,5,1021,4
SouthAsian_tr,700,1291,5,1021,24
SouthAsian_tl,700,961,5,1021,5
SouthAsian_qht,700,1261,5,1021,17
SouthAsian_qam,700,1171,5,1021,17
SouthAsian_ar,700,1201,5,1021,3
SouthAsian_cs,700,811,5,1021,6
SouthAsian_art,700,871,5,1021,4
SouthAsian_hu,700,391,5,1021,1
SouthAsian_da,700,541,5,1021,2
SouthAsian_fi,700,481,5,1021,1
SouthAsian_in,700,1081,5,1021,6
SouthAsian_it,700,1051,5,1021,3
SouthAsian_hi,700,421,5,1021,6
SouthAsian_ko,700,751,5,1021,3
SouthAsian_lv,700,301,5,1021,2
SouthAsian_ur,700,91,5,1021,1
SouthAsian_nl,700,1021,5,1021,9
SouthAsian_vi,700,691,5,1021,1
SouthAsian_zh,700,781,5,1021,1
SouthAsian_eu,700,271,5,1021,1
SouthAsian_ru,700,211,5,1021,1
SouthAsian_el,700,661,5,1021,1
SouthAsian_iw,700,331,5,1021,1
SouthAsian_cy,700,451,5,1021,1
SouthAsian_ro,700,511,5,1021,2
SouthAsian_sv,700,361,5,1021,1
SouthAsian_lt,700,121,5,1021,1
Philippines_en,700,1471,5,901,2482
Philippines_de,700,1321,5,901,15
Philippines_ca,700,991,5,901,25
Philippines_es,700,1411,5,901,45
Philippines_it,700,1051,5,901,7
Philippines_tl,700,961,5,901,3
Philippines_ht,700,721,5,901,3
Philippines_und,700,1381,5,901,23
Philippines_cy,700,451,5,901,2
Philippines_pt,700,1141,5,901,3
Philippines_tr,700,1291,5,901,7
Philippines_qht,700,1261,5,901,25
Philippines_qme,700,1441,5,901,65
Philippines_in,700,1081,5,901,4
Philippines_lv,700,301,5,901,1
Philippines_hu,700,391,5,901,1
Philippines_qam,700,1171,5,901,5
Philippines_fr,700,1351,5,901,27
Philippines_hi,700,421,5,901,1
Philippines_ja,700,1231,5,901,2
Philippines_th,700,601,5,901,3
Philippines_cs,700,811,5,901,1
Philippines_zxx,700,1111,5,901,1
Portuguese_en,700,1471,5,991,4921
Portuguese_qme,700,1441,5,991,89
Portuguese_qht,700,1261,5,991,27
Portuguese_de,700,1321,5,991,32
Portuguese_pt,700,1141,5,991,51
Portuguese_es,700,1411,5,991,161
Portuguese_fr,700,1351,5,991,82
Portuguese_ht,700,721,5,991,3
Portuguese_tr,700,1291,5,991,31
Portuguese_qam,700,1171,5,991,19
Portuguese_zxx,700,1111,5,991,6
Portuguese_und,700,1381,5,991,38
Portuguese_in,700,1081,5,991,6
Portuguese_ro,700,511,5,991,2
Portuguese_nl,700,1021,5,991,4
Portuguese_art,700,871,5,991,2
Portuguese_ru,700,211,5,991,1
Portuguese_et,700,631,5,991,1
Portuguese_ca,700,991,5,991,3
Portuguese_is,700,181,5,991,1
Portuguese_tl,700,961,5,991,4
Portuguese_da,700,541,5,991,1
Portuguese_hu,700,391,5,991,1
Portuguese_it,700,1051,5,991,6
Portuguese_cy,700,451,5,991,2
Portuguese_ja,700,1231,5,991,15
Portuguese_pl,700,931,5,991,2
Portuguese_qst,700,841,5,991,1
Portuguese_ko,700,751,5,991,1
Portuguese_th,700,601,5,991,1
Indonesia_en,700,1471,5,1081,8051
Indonesia_de,700,1321,5,1081,83
Indonesia_fr,700,1351,5,1081,46
Indonesia_it,700,1051,5,1081,17
Indonesia_und,700,1381,5,1081,72
Indonesia_ja,700,1231,5,1081,16
Indonesia_tr,700,1291,5,1081,46
Indonesia_qme,700,1441,5,1081,85
Indonesia_eu,700,271,5,1081,1
Indonesia_pt,700,1141,5,1081,12
Indonesia_es,700,1411,5,1081,48
Indonesia_hu,700,391,5,1081,1
Indonesia_pl,700,931,5,1081,4
Indonesia_ar,700,1201,5,1081,6
Indonesia_no,700,571,5,1081,1
Indonesia_qam,700,1171,5,1081,14
Indonesia_qht,700,1261,5,1081,37
Indonesia_da,700,541,5,1081,2
Indonesia_art,700,871,5,1081,5
Indonesia_in,700,1081,5,1081,17
Indonesia_lv,700,301,5,1081,1
Indonesia_qst,700,841,5,1081,2
Indonesia_tl,700,961,5,1081,4
Indonesia_ca,700,991,5,1081,4
Indonesia_fi,700,481,5,1081,2
Indonesia_zxx,700,1111,5,1081,2
Indonesia_fa,700,901,5,1081,1
Indonesia_ht,700,721,5,1081,1
Indonesia_cy,700,451,5,1081,1
Indonesia_vi,700,691,5,1081,1
Indonesia_nl,700,1021,5,1081,5
CelticEnglish_en,700,1471,5,1111,81934
CelticEnglish_de,700,1321,5,1111,102
CelticEnglish_es,700,1411,5,1111,275
CelticEnglish_und,700,1381,5,1111,271
CelticEnglish_pt,700,1141,5,1111,25
CelticEnglish_qme,700,1441,5,1111,700
CelticEnglish_fr,700,1351,5,1111,102
CelticEnglish_tr,700,1291,5,1111,76
CelticEnglish_qht,700,1261,5,1111,165
CelticEnglish_ja,700,1231,5,1111,56
CelticEnglish_ht,700,721,5,1111,4
