lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
SouthAsian_de,700,391,5,691,29
SouthAsian_qme,700,361,5,691,4
SouthAsian_qht,700,301,5,691,1
Vietnam_de,700,391,5,421,8
Vietnam_sv,700,1,5,421,1
German_de,700,391,5,871,776
German_en,700,331,5,871,11
German_qme,700,361,5,871,9
German_qht,700,301,5,871,5
German_nl,700,271,5,871,7
German_zxx,700,211,5,871,2
German_fr,700,181,5,871,3
German_art,700,31,5,871,1
German_und,700,241,5,871,4
German_in,700,61,5,871,1
German_it,700,91,5,871,1
German_da,700,121,5,871,1
German_lt,700,151,5,871,1
Russian_de,700,391,5,451,7
Russian_qht,700,301,5,451,2
Russian_en,700,331,5,451,1
Indonesia_de,700,391,5,721,39
Indonesia_qme,700,361,5,721,1
Jewish_de,700,391,5,781,46
Jewish_qme,700,361,5,781,1
Jewish_und,700,241,5,781,1
French_de,700,391,5,811,93
French_qme,700,361,5,811,1
CelticEnglish_de,700,391,5,841,148
CelticEnglish_qht,700,301,5,841,4
CelticEnglish_en,700,331,5,841,2
Philippines_de,700,391,5,541,12
Spanish_de,700,391,5,661,26
Spanish_zxx,700,211,5,661,1
Portuguese_de,700,391,5,751,42
Portuguese_qme,700,361,5,751,2
Portuguese_en,700,331,5,751,1
Portuguese_qht,700,301,5,751,1
Japan_de,700,391,5,1,1
EastAfrican_de,700,391,5,361,5
Nubian_de,700,391,5,571,12
Nubian_qme,700,361,5,571,1
Sweden_de,700,391,5,481,10
Persian_de,700,391,5,391,5
EastEuropean_de,700,391,5,151,2
Romania_de,700,391,5,301,4
Chinese_de,700,391,5,631,22
Chinese_en,700,331,5,631,1
South Korea_de,700,391,5,211,3
Italy_de,700,391,5,601,16
Italy_en,700,331,5,601,1
Malaysia_de,700,391,5,511,9
Malaysia_zxx,700,211,5,511,1
SouthSlavs_de,700,391,5,331,4
Greek_de,700,391,5,241,3
WestAfrican_de,700,391,5,271,3
ArabianPeninsula_de,700,391,5,31,1
Turkey_de,700,391,5,181,2
Baltics_qht,700,301,5,61,1
Norway_de,700,391,5,91,1
Finland_de,700,391,5,121,1
