lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
Spanish_de,700,691,5,901,144
Spanish_fr,700,511,5,901,3
Spanish_qht,700,541,5,901,1
Spanish_tl,700,1,5,901,1
Spanish_und,700,631,5,901,1
Spanish_qme,700,571,5,901,1
German_de,700,691,5,1021,1770
German_en,700,661,5,1021,31
German_nl,700,601,5,1021,10
German_et,700,481,5,1021,2
German_qme,700,571,5,1021,24
German_qht,700,541,5,1021,18
German_und,700,631,5,1021,8
German_no,700,361,5,1021,2
German_sv,700,241,5,1021,2
German_ro,700,31,5,1021,1
German_da,700,301,5,1021,1
German_fr,700,511,5,1021,3
German_es,700,391,5,1021,1
German_ca,700,331,5,1021,1
German_zxx,700,421,5,1021,1
German_lt,700,271,5,1021,1
Indonesia_de,700,691,5,841,86
Indonesia_nl,700,601,5,841,4
Indonesia_qht,700,541,5,841,1
Indonesia_qme,700,571,5,841,1
Indonesia_en,700,661,5,841,5
Indonesia_und,700,631,5,841,1
Indonesia_in,700,451,5,841,1
French_de,700,691,5,931,186
French_nl,700,601,5,931,8
French_fr,700,511,5,931,1
French_qht,700,541,5,931,2
French_en,700,661,5,931,4
French_da,700,301,5,931,1
French_qme,700,571,5,931,4
French_et,700,481,5,931,1
French_und,700,631,5,931,1
French_no,700,361,5,931,1
French_art,700,151,5,931,1
Portuguese_de,700,691,5,871,95
Portuguese_qme,700,571,5,871,2
Portuguese_qht,700,541,5,871,4
Portuguese_und,700,631,5,871,2
Portuguese_fr,700,511,5,871,1
Portuguese_nl,700,601,5,871,3
Portuguese_en,700,661,5,871,2
Philippines_de,700,691,5,601,17
Philippines_en,700,661,5,601,6
CelticEnglish_de,700,691,5,961,290
CelticEnglish_nl,700,601,5,961,22
CelticEnglish_en,700,661,5,961,13
CelticEnglish_lt,700,271,5,961,1
CelticEnglish_qht,700,541,5,961,4
CelticEnglish_es,700,391,5,961,1
CelticEnglish_qme,700,571,5,961,4
CelticEnglish_und,700,631,5,961,5
CelticEnglish_et,700,481,5,961,1
CelticEnglish_no,700,361,5,961,1
Greek_de,700,691,5,781,46
Greek_qme,700,571,5,781,2
Greek_qht,700,541,5,781,4
Greek_cs,700,121,5,781,1
Greek_en,700,661,5,781,7
Japan_de,700,691,5,301,6
SouthAsian_de,700,691,5,811,58
SouthAsian_nl,700,601,5,811,2
SouthAsian_fr,700,511,5,811,1
SouthAsian_qme,700,571,5,811,4
SouthAsian_qht,700,541,5,811,1
SouthAsian_en,700,661,5,811,5
SouthAsian_und,700,631,5,811,1
Turkey_de,700,691,5,571,17
Turkey_und,700,631,5,571,1
Turkey_ca,700,331,5,571,1
Denmark_de,700,691,5,331,6
Denmark_qme,700,571,5,331,1
Vietnam_de,700,691,5,751,38
Vietnam_und,700,631,5,751,2
Vietnam_en,700,661,5,751,2
Vietnam_qme,700,571,5,751,1
Malaysia_und,700,631,5,241,1
Malaysia_de,700,691,5,241,2
Malaysia_nl,700,601,5,241,2
EastAfrican_de,700,691,5,421,13
WestAfrican_de,700,691,5,661,21
WestAfrican_qht,700,541,5,661,1
WestAfrican_und,700,631,5,661,1
WestAfrican_nl,700,601,5,661,1
WestAfrican_en,700,661,5,661,2
Persian_nl,700,601,5,271,1
Persian_de,700,691,5,271,4
Italy_de,700,691,5,631,24
Jewish_de,700,691,5,991,795
Jewish_en,700,661,5,991,75
Jewish_qme,700,571,5,991,15
Jewish_und,700,631,5,991,45
Jewish_qht,700,541,5,991,2
Jewish_nl,700,601,5,991,6
Jewish_es,700,391,5,991,2
Jewish_fr,700,511,5,991,2
Jewish_in,700,451,5,991,3
Jewish_tr,700,181,5,991,1
Jewish_ca,700,331,5,991,1
Jewish_it,700,211,5,991,1
Jewish_et,700,481,5,991,1
Jewish_zxx,700,421,5,991,3
Norway_de,700,691,5,541,16
Norway_nl,700,601,5,541,1
South Korea_nl,700,601,5,151,1
South Korea_de,700,691,5,151,2
Sweden_de,700,691,5,691,23
Sweden_qht,700,541,5,691,1
Sweden_nl,700,601,5,691,1
Sweden_pl,700,61,5,691,1
Romania_und,700,631,5,511,1
Romania_de,700,691,5,511,15
Chinese_de,700,691,5,481,13
Chinese_nl,700,601,5,481,1
Chinese_und,700,631,5,481,1
Russian_de,700,691,5,361,8
Russian_eu,700,91,5,361,1
Nubian_de,700,691,5,721,33
Nubian_qht,700,541,5,721,5
Nubian_en,700,661,5,721,1
Nubian_fr,700,511,5,721,1
Nubian_qme,700,571,5,721,1
SouthAfrican_de,700,691,5,181,3
SouthAfrican_en,700,661,5,181,1
SouthSlavs_de,700,691,5,391,7
SouthSlavs_und,700,631,5,391,1
SouthSlavs_qht,700,541,5,391,1
Pakistan_de,700,691,5,451,13
Baltics_de,700,691,5,1,1
Thailand_en,700,661,5,211,1
Thailand_nl,700,601,5,211,2
Thailand_de,700,691,5,211,1
Finland_de,700,691,5,61,2
ArabianPeninsula_de,700,691,5,91,2
EastEuropean_de,700,691,5,31,1
Bangladesh_de,700,691,5,121,2
