lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
French_de,700,571,5,781,71
French_qme,700,481,5,781,3
French_nl,700,361,5,781,1
French_und,700,451,5,781,5
French_qht,700,511,5,781,7
French_en,700,541,5,781,87
French_pl,700,241,5,781,1
German_de,700,571,5,811,329
German_en,700,541,5,811,16
German_qht,700,511,5,811,25
German_ar,700,271,5,811,2
German_zxx,700,391,5,811,3
German_qme,700,481,5,811,17
German_und,700,451,5,811,3
German_fr,700,151,5,811,1
EastAfrican_de,700,571,5,721,48
EastAfrican_en,700,541,5,721,43
EastAfrican_qht,700,511,5,721,9
EastAfrican_qam,700,1,5,721,1
EastAfrican_qme,700,481,5,721,6
EastAfrican_tl,700,61,5,721,1
EastAfrican_es,700,421,5,721,1
Nubian_de,700,571,5,541,14
Nubian_en,700,541,5,541,7
Nubian_und,700,451,5,541,1
Nubian_qme,700,481,5,541,2
Nubian_qht,700,511,5,541,2
Chinese_de,700,571,5,361,6
Chinese_qme,700,481,5,361,1
CelticEnglish_de,700,571,5,751,67
CelticEnglish_qme,700,481,5,751,12
CelticEnglish_en,700,541,5,751,13
CelticEnglish_qht,700,511,5,751,15
CelticEnglish_ht,700,91,5,751,1
CelticEnglish_und,700,451,5,751,2
SouthAsian_de,700,571,5,571,12
SouthAsian_en,700,541,5,571,11
SouthAsian_tr,700,301,5,571,1
SouthAsian_qht,700,511,5,571,8
SouthAsian_und,700,451,5,571,1
SouthAsian_qme,700,481,5,571,3
SouthAsian_hi,700,331,5,571,2
WestAfrican_und,700,451,5,511,2
WestAfrican_de,700,571,5,511,4
WestAfrican_qht,700,511,5,511,8
WestAfrican_en,700,541,5,511,2
Japan_de,700,571,5,91,3
Indonesia_en,700,541,5,601,9
Indonesia_de,700,571,5,601,26
Indonesia_qht,700,511,5,601,4
Indonesia_it,700,121,5,601,1
Indonesia_qme,700,481,5,601,1
Portuguese_de,700,571,5,661,33
Portuguese_en,700,541,5,661,5
Portuguese_es,700,421,5,661,1
Portuguese_qht,700,511,5,661,6
Portuguese_und,700,451,5,661,1
Portuguese_qme,700,481,5,661,1
Portuguese_pt,700,211,5,661,1
Spanish_da,700,31,5,691,1
Spanish_qht,700,511,5,691,4
Spanish_de,700,571,5,691,53
Spanish_en,700,541,5,691,5
Spanish_es,700,421,5,691,1
Spanish_qme,700,481,5,691,1
Spanish_nl,700,361,5,691,1
Jewish_de,700,571,5,451,6
Jewish_qme,700,481,5,451,1
Jewish_qht,700,511,5,451,3
Italy_de,700,571,5,481,9
Italy_nl,700,361,5,481,1
Italy_qht,700,511,5,481,1
Italy_qme,700,481,5,481,1
Vietnam_de,700,571,5,631,43
Vietnam_en,700,541,5,631,2
Persian_de,700,571,5,271,5
Persian_qme,700,481,5,271,1
Sweden_de,700,571,5,391,5
Sweden_qht,700,511,5,391,1
Sweden_fi,700,181,5,391,1
Romania_de,700,571,5,301,6
Greek_de,700,571,5,421,4
Greek_en,700,541,5,421,2
Greek_qht,700,511,5,421,1
Cambodia_de,700,571,5,1,1
SouthAfrican_de,700,571,5,31,1
Baltics_de,700,571,5,121,2
Baltics_qht,700,511,5,121,1
ArabianPeninsula_qme,700,481,5,211,1
ArabianPeninsula_qht,700,511,5,211,2
ArabianPeninsula_de,700,571,5,211,2
Russian_de,700,571,5,61,1
Russian_qht,700,511,5,61,1
Turkey_qme,700,481,5,331,1
Turkey_de,700,571,5,331,2
Turkey_tr,700,301,5,331,1
Turkey_qht,700,511,5,331,2
Pakistan_qht,700,511,5,181,2
Pakistan_qme,700,481,5,181,1
Pakistan_en,700,541,5,181,1
Philippines_qht,700,511,5,151,1
Philippines_de,700,571,5,151,1
Philippines_en,700,541,5,151,1
South Korea_de,700,571,5,241,5
