lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
EastAfrican_de,700,841,5,421,9
EastAfrican_hi,700,721,5,421,1
EastAfrican_qht,700,751,5,421,4
EastAfrican_en,700,811,5,421,1
CelticEnglish_de,700,841,5,961,240
CelticEnglish_es,700,601,5,961,1
CelticEnglish_en,700,811,5,961,190
CelticEnglish_qme,700,661,5,961,6
CelticEnglish_qht,700,751,5,961,25
CelticEnglish_fr,700,781,5,961,5
CelticEnglish_und,700,691,5,961,2
CelticEnglish_tr,700,541,5,961,1
CelticEnglish_nl,700,631,5,961,2
CelticEnglish_tl,700,451,5,961,3
CelticEnglish_in,700,421,5,961,1
CelticEnglish_et,700,361,5,961,1
German_de,700,841,5,991,1422
German_nl,700,631,5,991,6
German_qht,700,751,5,991,18
German_en,700,811,5,991,97
German_und,700,691,5,991,7
German_qme,700,661,5,991,21
German_es,700,601,5,991,5
German_ar,700,481,5,991,4
German_fr,700,781,5,991,12
German_it,700,301,5,991,2
German_sv,700,571,5,991,6
German_iw,700,1,5,991,1
German_eu,700,31,5,991,1
German_cs,700,61,5,991,1
German_pl,700,91,5,991,1
German_zxx,700,511,5,991,2
German_fi,700,391,5,991,2
German_in,700,421,5,991,1
German_qam,700,271,5,991,1
SouthAsian_en,700,811,5,901,119
SouthAsian_de,700,841,5,901,38
SouthAsian_hi,700,721,5,901,33
SouthAsian_in,700,421,5,901,2
SouthAsian_qme,700,661,5,901,4
SouthAsian_fi,700,391,5,901,1
SouthAsian_und,700,691,5,901,2
SouthAsian_qht,700,751,5,901,7
SouthAsian_tl,700,451,5,901,2
SouthAsian_et,700,361,5,901,1
SouthAsian_zxx,700,511,5,901,1
Spanish_qme,700,661,5,841,6
Spanish_en,700,811,5,841,42
Spanish_de,700,841,5,841,99
Spanish_qht,700,751,5,841,6
Spanish_nl,700,631,5,841,1
Spanish_ht,700,151,5,841,1
Spanish_tr,700,541,5,841,1
Spanish_und,700,691,5,841,1
Spanish_fr,700,781,5,841,9
Nubian_de,700,841,5,691,45
Nubian_fr,700,781,5,691,2
Nubian_und,700,691,5,691,2
Nubian_en,700,811,5,691,20
Nubian_qme,700,661,5,691,3
Nubian_qht,700,751,5,691,10
Nubian_es,700,601,5,691,1
Jewish_de,700,841,5,811,49
Jewish_en,700,811,5,811,81
Jewish_qme,700,661,5,811,2
Jewish_fr,700,781,5,811,3
Jewish_nl,700,631,5,811,3
Jewish_es,700,601,5,811,1
Jewish_it,700,301,5,811,1
Jewish_ar,700,481,5,811,1
Jewish_qht,700,751,5,811,2
Jewish_fa,700,331,5,811,1
Jewish_qam,700,271,5,811,1
French_de,700,841,5,871,46
French_en,700,811,5,871,68
French_fr,700,781,5,871,77
French_qme,700,661,5,871,2
French_nl,700,631,5,871,6
French_hi,700,721,5,871,1
French_und,700,691,5,871,4
French_qht,700,751,5,871,4
Indonesia_de,700,841,5,751,84
Indonesia_qht,700,751,5,751,7
Indonesia_en,700,811,5,751,35
Indonesia_fr,700,781,5,751,4
Indonesia_qme,700,661,5,751,5
Indonesia_nl,700,631,5,751,1
Indonesia_und,700,691,5,751,1
Vietnam_de,700,841,5,931,35
Vietnam_nl,700,631,5,931,1
Vietnam_qht,700,751,5,931,1
Vietnam_und,700,691,5,931,42
Vietnam_en,700,811,5,931,189
Vietnam_hi,700,721,5,931,39
Vietnam_pt,700,181,5,931,1
Vietnam_zxx,700,511,5,931,3
Portuguese_de,700,841,5,721,66
Portuguese_en,700,811,5,721,10
Portuguese_fr,700,781,5,721,3
Portuguese_qme,700,661,5,721,3
Portuguese_qht,700,751,5,721,2
Portuguese_und,700,691,5,721,1
Turkey_de,700,841,5,631,25
Turkey_qme,700,661,5,631,1
Turkey_qht,700,751,5,631,1
