lang,x,y,lang_art,Number_of_connections
ht,5,1,lang_out,1
el,5,31,lang_out,1
ro,5,61,lang_out,1
pt,5,91,lang_out,1
is,5,121,lang_out,1
sv,5,151,lang_out,2
in,5,181,lang_out,2
tl,5,211,lang_out,2
qam,5,241,lang_out,2
es,5,271,lang_out,3
fi,5,301,lang_out,3
fa,5,331,lang_out,4
et,5,361,lang_out,4
ur,5,391,lang_out,5
tr,5,421,lang_out,7
ar,5,451,lang_out,7
zxx,5,481,lang_out,10
iw,5,511,lang_out,13
nl,5,541,lang_out,20
qme,5,571,lang_out,23
und,5,601,lang_out,55
hi,5,631,lang_out,77
fr,5,661,lang_out,111
en,5,691,lang_out,1228
de,5,721,lang_out,2304
iw,700,1,lang_in,1
eu,700,31,lang_in,1
cs,700,61,lang_in,1
pl,700,91,lang_in,1
ro,700,121,lang_in,1
ht,700,151,lang_in,1
pt,700,181,lang_in,1
da,700,211,lang_in,2
ur,700,241,lang_in,2
qam,700,271,lang_in,2
it,700,301,lang_in,3
fa,700,331,lang_in,3
et,700,361,lang_in,3
fi,700,391,lang_in,4
in,700,421,lang_in,4
tl,700,451,lang_in,5
ar,700,481,lang_in,6
zxx,700,511,lang_in,6
tr,700,541,lang_in,6
sv,700,571,lang_in,7
es,700,601,lang_in,9
nl,700,631,lang_in,23
qme,700,661,lang_in,63
und,700,691,lang_in,64
hi,700,721,lang_in,74
qht,700,751,lang_in,109
fr,700,781,lang_in,121
en,700,811,lang_in,1092
de,700,841,lang_in,2272
