lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
en_Nubian,700,691,5,691,15
en_SouthAsian,700,901,5,691,116
en_Spanish,700,931,5,691,64
en_French,700,961,5,691,92
en_WestAfrican,700,841,5,691,115
en_Indonesia,700,811,5,691,34
en_Jewish,700,871,5,691,73
en_Chinese,700,511,5,691,6
en_CelticEnglish,700,1021,5,691,292
en_Persian,700,661,5,691,13
en_German,700,1051,5,691,59
en_Russian,700,541,5,691,12
en_Philippines,700,601,5,691,2
en_Italy,700,751,5,691,12
en_ArabianPeninsula,700,571,5,691,7
en_Portuguese,700,781,5,691,14
en_Japan,700,721,5,691,45
en_Denmark,700,301,5,691,3
en_Sweden,700,151,5,691,2
en_Greek,700,421,5,691,3
en_Turkey,700,631,5,691,3
en_SouthAfrican,700,181,5,691,2
en_Romania,700,451,5,691,2
en_Vietnam,700,991,5,691,202
en_Bangladesh,700,361,5,691,5
en_Pakistan,700,391,5,691,6
en_EastEuropean,700,481,5,691,1
en_Maghreb,700,271,5,691,1
en_EastAfrican,700,331,5,691,1
en_Malaysia,700,91,5,691,1
de_Russian,700,541,5,721,14
de_Spanish,700,931,5,721,120
de_Persian,700,661,5,721,20
de_CelticEnglish,700,1021,5,721,354
de_French,700,961,5,721,119
de_German,700,1051,5,721,941
de_Nubian,700,691,5,721,27
de_WestAfrican,700,841,5,721,40
de_Jewish,700,871,5,721,122
de_Indonesia,700,811,5,721,108
de_Portuguese,700,781,5,721,113
de_SouthAsian,700,901,5,721,75
de_Italy,700,751,5,721,35
de_EastEuropean,700,481,5,721,18
de_Cambodia,700,1,5,721,1
de_EastAfrican,700,331,5,721,12
de_Turkey,700,631,5,721,28
de_Philippines,700,601,5,721,28
de_Chinese,700,511,5,721,21
de_Norway,700,121,5,721,4
de_Greek,700,421,5,721,15
de_ArabianPeninsula,700,571,5,721,6
de_Romania,700,451,5,721,17
de_Sweden,700,151,5,721,2
de_Denmark,700,301,5,721,5
de_Bangladesh,700,361,5,721,8
de_Finland,700,61,5,721,2
de_Japan,700,721,5,721,2
de_SouthAfrican,700,181,5,721,2
de_Vietnam,700,991,5,721,10
de_Pakistan,700,391,5,721,1
de_Thailand,700,31,5,721,1
de_Maghreb,700,271,5,721,5
de_Baltics,700,211,5,721,5
de_SouthSlavs,700,241,5,721,5
de_Malaysia,700,91,5,721,1
nl_German,700,1051,5,541,6
nl_Indonesia,700,811,5,541,3
nl_French,700,961,5,541,4
nl_EastEuropean,700,481,5,541,3
nl_CelticEnglish,700,1021,5,541,3
nl_Portuguese,700,781,5,541,1
fr_Nubian,700,691,5,661,1
fr_Spanish,700,931,5,661,11
fr_French,700,961,5,661,62
fr_ArabianPeninsula,700,571,5,661,13
fr_Italy,700,751,5,661,2
fr_CelticEnglish,700,1021,5,661,8
fr_Portuguese,700,781,5,661,3
fr_Pakistan,700,391,5,661,1
fr_Jewish,700,871,5,661,2
fr_Persian,700,661,5,661,1
fr_SouthAsian,700,901,5,661,2
fr_German,700,1051,5,661,1
fr_WestAfrican,700,841,5,661,1
fr_Philippines,700,601,5,661,1
fa_Persian,700,661,5,331,3
fa_German,700,1051,5,331,1
hi_Spanish,700,931,5,631,22
hi_SouthAsian,700,901,5,631,7
hi_Pakistan,700,391,5,631,1
hi_Jewish,700,871,5,631,1
hi_Vietnam,700,991,5,631,46
qme_SouthAsian,700,901,5,571,3
qme_German,700,1051,5,571,6
qme_French,700,961,5,571,1
qme_CelticEnglish,700,1021,5,571,6
qme_Spanish,700,931,5,571,2
qme_WestAfrican,700,841,5,571,3
qme_Indonesia,700,811,5,571,1
qme_Russian,700,541,5,571,1
zxx_German,700,1051,5,481,4
zxx_Russian,700,541,5,481,1
zxx_Italy,700,751,5,481,1
zxx_Indonesia,700,811,5,481,1
zxx_CelticEnglish,700,1021,5,481,1
zxx_Vietnam,700,991,5,481,2
und_German,700,1051,5,601,7
und_Vietnam,700,991,5,601,44
und_French,700,961,5,601,1
und_SouthAsian,700,901,5,601,1
ur_ArabianPeninsula,700,571,5,391,1
ur_Pakistan,700,391,5,391,4
sv_Persian,700,661,5,181,1
sv_German,700,1051,5,181,1
in_SouthAsian,700,901,5,211,2
iw_Jewish,700,871,5,511,1
iw_SouthAsian,700,901,5,511,1
iw_Bangladesh,700,361,5,511,1
iw_CelticEnglish,700,1021,5,511,3
iw_Portuguese,700,781,5,511,1
iw_German,700,1051,5,511,3
iw_Italy,700,751,5,511,1
iw_French,700,961,5,511,1
iw_Nubian,700,691,5,511,1
es_German,700,1051,5,271,1
es_French,700,961,5,271,1
es_EastAfrican,700,331,5,271,1
fi_German,700,1051,5,301,3
ht_Spanish,700,931,5,1,1
tr_Pakistan,700,391,5,421,2
tr_German,700,1051,5,421,1
tr_Portuguese,700,781,5,421,1
tr_Turkey,700,631,5,421,2
tr_Spanish,700,931,5,421,1
ar_Nubian,700,691,5,451,1
ar_ArabianPeninsula,700,571,5,451,2
ar_SouthAsian,700,901,5,451,2
ar_CelticEnglish,700,1021,5,451,1
ar_Indonesia,700,811,5,451,1
tl_CelticEnglish,700,1021,5,241,1
tl_SouthAsian,700,901,5,241,1
el_Italy,700,751,5,31,1
et_CelticEnglish,700,1021,5,361,1
et_Jewish,700,871,5,361,1
et_WestAfrican,700,841,5,361,1
et_SouthAsian,700,901,5,361,1
ro_Bangladesh,700,361,5,61,1
qam_German,700,1051,5,91,1
pt_Vietnam,700,991,5,121,1
is_CelticEnglish,700,1021,5,151,1
