lang,x,y,lang_art,Number_of_connections,spoken
ht,5,1,lang_out,1,ht
el,5,31,lang_out,1,el
ro,5,61,lang_out,1,ro
qam,5,91,lang_out,1,qam
pt,5,121,lang_out,1,pt
is,5,151,lang_out,1,is
sv,5,181,lang_out,2,sv
in,5,211,lang_out,2,in
tl,5,241,lang_out,2,tl
es,5,271,lang_out,3,es
fi,5,301,lang_out,3,fi
fa,5,331,lang_out,4,fa
et,5,361,lang_out,4,et
ur,5,391,lang_out,5,ur
tr,5,421,lang_out,7,tr
ar,5,451,lang_out,7,ar
zxx,5,481,lang_out,10,zxx
iw,5,511,lang_out,13,iw
nl,5,541,lang_out,20,nl
qme,5,571,lang_out,23,qme
und,5,601,lang_out,53,und
hi,5,631,lang_out,77,hi
fr,5,661,lang_out,109,fr
en,5,691,lang_out,1203,en
de,5,721,lang_out,2287,de
Cambodia,700,1,lang_in,1,km
Thailand,700,31,lang_in,1,th
Finland,700,61,lang_in,2,fi  sw
Malaysia,700,91,lang_in,2,zsm
Norway,700,121,lang_in,4,no
Sweden,700,151,lang_in,4,sw
SouthAfrican,700,181,lang_in,4,en  zu  ss  af  st  nso  tn  ts  xh  ve  nr
Baltics,700,211,lang_in,5,et  lv  lt
SouthSlavs,700,241,lang_in,5,bg mk sl kjv ckm sr hr bs
Maghreb,700,271,lang_in,6,ar
Denmark,700,301,lang_in,8,da
EastAfrican,700,331,lang_in,14,rn  fr  en  zdj  wni  swb  wlc  ar  ti  aa  am  om  so  sw  mg  ny  pt  rw  crs  kck  nmq
Bangladesh,700,361,lang_in,15,bn
Pakistan,700,391,lang_in,15,ur
Greek,700,421,lang_in,18,el
Romania,700,451,lang_in,19,ro
EastEuropean,700,481,lang_in,22,be  bg  cs  hu  ro  ru  sk  uk
Chinese,700,511,lang_in,27,zh
Russian,700,541,lang_in,28,ru
ArabianPeninsula,700,571,lang_in,29,ar
Philippines,700,601,lang_in,31,fil  en
Turkey,700,631,lang_in,33,tr
Persian,700,661,lang_in,38,fa
Nubian,700,691,lang_in,45,nub 
Japan,700,721,lang_in,47,ja
Italy,700,751,lang_in,52,it
Portuguese,700,781,lang_in,133,pt
Indonesia,700,811,lang_in,148,in
WestAfrican,700,841,lang_in,160,fr  pt  en  ar
Jewish,700,871,lang_in,200,he  iw
SouthAsian,700,901,lang_in,211,bn  fa  dz  dv  en  hi  ne  ps  si  ta
Spanish,700,931,lang_in,221,es
French,700,961,lang_in,281,fr
Vietnam,700,991,lang_in,305,vi
CelticEnglish,700,1021,lang_in,671,en
German,700,1051,lang_in,1035,de
