lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
fa_Persian,700,871,5,931,26
fa_Spanish,700,991,5,931,3
fa_Indonesia,700,1021,5,931,6
fa_SouthAsian,700,1081,5,931,3
fa_CelticEnglish,700,1111,5,931,15
fa_ArabianPeninsula,700,421,5,931,4
fa_Nubian,700,931,5,931,2
fa_Pakistan,700,1051,5,931,4
fa_Chinese,700,721,5,931,2
fa_Romania,700,631,5,931,1
fa_French,700,901,5,931,1
fa_Greek,700,601,5,931,1
fa_German,700,811,5,931,1
de_German,700,811,5,1411,183
de_Spanish,700,991,5,1411,31
de_SouthAsian,700,1081,5,1411,104
de_CelticEnglish,700,1111,5,1411,148
de_French,700,901,5,1411,64
de_Portuguese,700,961,5,1411,25
de_Indonesia,700,1021,5,1411,101
de_Vietnam,700,661,5,1411,11
de_EastAfrican,700,781,5,1411,7
de_Romania,700,631,5,1411,8
de_Denmark,700,61,5,1411,2
de_Greek,700,601,5,1411,12
de_Jewish,700,751,5,1411,12
de_Pakistan,700,1051,5,1411,40
de_Japan,700,481,5,1411,3
de_Bangladesh,700,391,5,1411,2
de_Philippines,700,691,5,1411,15
de_Chinese,700,721,5,1411,8
de_WestAfrican,700,841,5,1411,34
de_Turkey,700,571,5,1411,1
de_Russian,700,271,5,1411,1
de_Italy,700,451,5,1411,5
de_Nubian,700,931,5,1411,10
de_Persian,700,871,5,1411,27
de_Finland,700,91,5,1411,1
de_SouthAfrican,700,241,5,1411,2
de_Sweden,700,151,5,1411,3
de_ArabianPeninsula,700,421,5,1411,1
de_Baltics,700,361,5,1411,2
en_SouthAsian,700,1081,5,1591,17641
en_CelticEnglish,700,1111,5,1591,34919
en_Sweden,700,151,5,1591,22
en_Indonesia,700,1021,5,1591,14856
en_Portuguese,700,961,5,1591,5133
en_Philippines,700,691,5,1591,1146
en_WestAfrican,700,841,5,1591,2783
en_German,700,811,5,1591,2722
en_Spanish,700,991,5,1591,5552
en_French,700,901,5,1591,3636
en_Jewish,700,751,5,1591,1253
en_Finland,700,91,5,1591,9
en_Pakistan,700,1051,5,1591,16221
en_EastAfrican,700,781,5,1591,1801
en_Nubian,700,931,5,1591,4581
en_Turkey,700,571,5,1591,125
en_ArabianPeninsula,700,421,5,1591,123
en_Greek,700,601,5,1591,768
en_Vietnam,700,661,5,1591,1047
en_Italy,700,451,5,1591,134
en_SouthSlavs,700,331,5,1591,65
en_Chinese,700,721,5,1591,1096
en_South Korea,700,511,5,1591,318
en_Denmark,700,61,5,1591,6
en_Japan,700,481,5,1591,104
en_EastEuropean,700,301,5,1591,43
en_Baltics,700,361,5,1591,30
en_Romania,700,631,5,1591,931
en_Norway,700,211,5,1591,30
en_Persian,700,871,5,1591,2891
en_Maghreb,700,541,5,1591,417
en_Malaysia,700,181,5,1591,24
