lang,x,y,lang_art,Number_of_connections,spoken
ne,5,1,lang_out,1,ne
bg,5,31,lang_out,1,bg
ta,5,61,lang_out,1,ta
kn,5,91,lang_out,2,kn
gu,5,121,lang_out,2,gu
ml,5,151,lang_out,2,ml
sl,5,181,lang_out,3,sl
sr,5,211,lang_out,7,sr
lv,5,241,lang_out,9,lv
lt,5,271,lang_out,10,lt
is,5,301,lang_out,10,is
uk,5,331,lang_out,12,uk
eu,5,361,lang_out,13,eu
iw,5,391,lang_out,13,iw
hu,5,421,lang_out,15,hu
el,5,451,lang_out,21,el
sv,5,481,lang_out,24,sv
ur,5,511,lang_out,25,ur
fi,5,541,lang_out,26,fi
cy,5,571,lang_out,27,cy
no,5,601,lang_out,29,no
th,5,631,lang_out,31,th
ru,5,661,lang_out,32,ru
et,5,691,lang_out,35,et
hi,5,721,lang_out,39,hi
ro,5,751,lang_out,43,ro
ko,5,781,lang_out,48,ko
da,5,811,lang_out,49,da
vi,5,841,lang_out,52,vi
ca,5,871,lang_out,57,ca
ht,5,901,lang_out,65,ht
fa,5,931,lang_out,69,fa
art,5,961,lang_out,70,art
cs,5,991,lang_out,75,cs
nl,5,1021,lang_out,114,nl
qst,5,1051,lang_out,114,qst
pl,5,1081,lang_out,116,pl
zh,5,1111,lang_out,131,zh
tl,5,1141,lang_out,160,tl
qam,5,1171,lang_out,228,qam
pt,5,1201,lang_out,272,pt
ar,5,1231,lang_out,288,ar
qht,5,1261,lang_out,342,qht
in,5,1291,lang_out,390,in
zxx,5,1321,lang_out,440,zxx
it,5,1351,lang_out,679,it
ja,5,1381,lang_out,770,ja
de,5,1411,lang_out,863,de
fr,5,1441,lang_out,1124,fr
und,5,1471,lang_out,1339,und
tr,5,1501,lang_out,1396,tr
qme,5,1531,lang_out,1628,qme
es,5,1561,lang_out,1897,es
en,5,1591,lang_out,120639,en
Myanmar,700,1,lang_in,1,my
Cambodia,700,31,lang_in,2,km
Denmark,700,61,lang_in,8,da
Finland,700,91,lang_in,14,fi  sw
Thailand,700,121,lang_in,16,th
Sweden,700,151,lang_in,25,sw
Malaysia,700,181,lang_in,25,zsm
Norway,700,211,lang_in,31,no
SouthAfrican,700,241,lang_in,34,en  zu  ss  af  st  nso  tn  ts  xh  ve  nr
Russian,700,271,lang_in,56,ru
EastEuropean,700,301,lang_in,68,be  bg  cs  hu  ro  ru  sk  uk
SouthSlavs,700,331,lang_in,73,bg mk sl kjv ckm sr hr bs
Baltics,700,361,lang_in,80,et  lv  lt
Bangladesh,700,391,lang_in,144,bn
ArabianPeninsula,700,421,lang_in,182,ar
Italy,700,451,lang_in,190,it
Japan,700,481,lang_in,233,ja
South Korea,700,511,lang_in,357,ko
Maghreb,700,541,lang_in,456,ar
Turkey,700,571,lang_in,618,tr
Greek,700,601,lang_in,835,el
Romania,700,631,lang_in,1070,ro
Vietnam,700,661,lang_in,1257,vi
Philippines,700,691,lang_in,1347,fil  en
Chinese,700,721,lang_in,1431,zh
Jewish,700,751,lang_in,1547,he  iw
EastAfrican,700,781,lang_in,1967,rn  fr  en  zdj  wni  swb  wlc  ar  ti  aa  am  om  so  sw  mg  ny  pt  rw  crs  kck  nmq
German,700,811,lang_in,3082,de
WestAfrican,700,841,lang_in,3130,fr  pt  en  ar
Persian,700,871,lang_in,3354,fa
French,700,901,lang_in,4579,fr
Nubian,700,931,lang_in,4944,nub 
Portuguese,700,961,lang_in,5605,pt
Spanish,700,991,lang_in,6591,es
Indonesia,700,1021,lang_in,16249,in
Pakistan,700,1051,lang_in,18024,ur
SouthAsian,700,1081,lang_in,18610,bn  fa  dz  dv  en  hi  ne  ps  si  ta
CelticEnglish,700,1111,lang_in,37613,en
