lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
de_Jewish,700,841,5,361,75
de_French,700,871,5,361,93
de_Portuguese,700,811,5,361,74
de_CelticEnglish,700,901,5,361,208
de_SouthAsian,700,751,5,361,46
de_German,700,931,5,361,603
de_Nubian,700,661,5,361,23
de_Russian,700,361,5,361,4
de_Persian,700,301,5,361,4
de_Indonesia,700,781,5,361,49
de_Romania,700,451,5,361,9
de_Italy,700,571,5,361,12
de_Malaysia,700,481,5,361,9
de_Spanish,700,721,5,361,36
de_EastEuropean,700,331,5,361,5
de_Chinese,700,691,5,361,25
de_Norway,700,211,5,361,4
de_ArabianPeninsula,700,91,5,361,2
de_SouthSlavs,700,241,5,361,4
de_Vietnam,700,391,5,361,2
de_Philippines,700,631,5,361,14
de_Sweden,700,541,5,361,9
de_EastAfrican,700,511,5,361,8
de_WestAfrican,700,601,5,361,13
de_Turkey,700,1,5,361,1
de_South Korea,700,121,5,361,3
de_Denmark,700,151,5,361,3
de_Finland,700,271,5,361,4
de_Greek,700,181,5,361,3
de_Japan,700,421,5,361,7
de_Thailand,700,31,5,361,1
de_Baltics,700,61,5,361,1
en_EastAfrican,700,511,5,331,1
en_French,700,871,5,331,1
en_German,700,931,5,331,10
en_SouthAsian,700,751,5,331,2
en_Vietnam,700,391,5,331,3
en_CelticEnglish,700,901,5,331,4
en_Philippines,700,631,5,331,1
en_Chinese,700,691,5,331,1
en_Russian,700,361,5,331,2
qme_Jewish,700,841,5,301,1
qme_German,700,931,5,301,2
qme_SouthAsian,700,751,5,301,2
qme_French,700,871,5,301,1
qme_CelticEnglish,700,901,5,301,1
art_German,700,931,5,1,1
und_Persian,700,301,5,181,1
und_German,700,931,5,181,1
nl_German,700,931,5,211,2
fr_German,700,931,5,241,2
zxx_German,700,931,5,271,3
zxx_Indonesia,700,781,5,271,1
zxx_Portuguese,700,811,5,271,1
zxx_French,700,871,5,271,1
uk_Vietnam,700,391,5,31,1
ru_German,700,931,5,61,1
in_German,700,931,5,91,1
pl_German,700,931,5,121,1
cs_German,700,931,5,151,1
