lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
de_German,700,1051,5,691,1390
de_CelticEnglish,700,991,5,691,425
de_EastAfrican,700,751,5,691,35
de_Norway,700,571,5,691,25
de_Indonesia,700,871,5,691,106
de_French,700,961,5,691,228
de_Japan,700,481,5,691,13
de_Bangladesh,700,271,5,691,6
de_SouthAsian,700,841,5,691,84
de_WestAfrican,700,811,5,691,71
de_Chinese,700,721,5,691,27
de_Spanish,700,931,5,691,166
de_Vietnam,700,511,5,691,16
de_Romania,700,631,5,691,28
de_Portuguese,700,901,5,691,143
de_Jewish,700,1021,5,691,845
de_Greek,700,781,5,691,31
de_Denmark,700,451,5,691,11
de_Russian,700,541,5,691,18
de_Turkey,700,421,5,691,11
de_Nubian,700,691,5,691,32
de_Persian,700,361,5,691,8
de_Italy,700,601,5,691,29
de_SouthAfrican,700,151,5,691,3
de_Philippines,700,661,5,691,23
de_SouthSlavs,700,391,5,691,8
de_Finland,700,211,5,691,6
de_South Korea,700,301,5,691,6
de_ArabianPeninsula,700,331,5,691,7
de_Pakistan,700,91,5,691,3
de_Sweden,700,121,5,691,4
de_Maghreb,700,1,5,691,1
de_Malaysia,700,241,5,691,3
de_EastEuropean,700,181,5,691,4
de_Myanmar,700,31,5,691,1
de_Baltics,700,61,5,691,1
nl_French,700,961,5,631,5
nl_German,700,1051,5,631,9
nl_Indonesia,700,871,5,631,3
nl_CelticEnglish,700,991,5,631,21
nl_SouthAsian,700,841,5,631,2
nl_Persian,700,361,5,631,1
nl_Chinese,700,721,5,631,4
nl_WestAfrican,700,811,5,631,3
nl_Portuguese,700,901,5,631,2
nl_Denmark,700,451,5,631,1
nl_SouthSlavs,700,391,5,631,1
nl_Vietnam,700,511,5,631,1
nl_Romania,700,631,5,631,1
nl_Jewish,700,1021,5,631,5
nl_SouthAfrican,700,151,5,631,1
nl_Spanish,700,931,5,631,2
nl_Malaysia,700,241,5,631,2
nl_Philippines,700,661,5,631,1
ca_German,700,1051,5,511,7
ca_CelticEnglish,700,991,5,511,1
ca_Romania,700,631,5,511,1
ca_Jewish,700,1021,5,511,1
en_Indonesia,700,871,5,661,3
en_German,700,1051,5,661,24
en_Spanish,700,931,5,661,4
en_Italy,700,601,5,661,1
en_EastAfrican,700,751,5,661,1
en_Philippines,700,661,5,661,7
en_French,700,961,5,661,3
en_CelticEnglish,700,991,5,661,15
en_WestAfrican,700,811,5,661,9
en_Portuguese,700,901,5,661,2
en_Japan,700,481,5,661,2
en_SouthAfrican,700,151,5,661,1
en_South Korea,700,301,5,661,1
en_EastEuropean,700,181,5,661,1
en_SouthAsian,700,841,5,661,5
en_Greek,700,781,5,661,7
en_Jewish,700,1021,5,661,73
da_Indonesia,700,871,5,1,1
qme_Indonesia,700,871,5,571,2
qme_Jewish,700,1021,5,571,14
qme_French,700,961,5,571,3
qme_German,700,1051,5,571,6
qme_CelticEnglish,700,991,5,571,4
qme_Spanish,700,931,5,571,2
qme_Portuguese,700,901,5,571,1
qme_Greek,700,781,5,571,1
es_CelticEnglish,700,991,5,481,2
es_German,700,1051,5,481,1
es_Jewish,700,1021,5,481,2
und_Greek,700,781,5,601,1
und_Romania,700,631,5,601,1
und_CelticEnglish,700,991,5,601,1
und_WestAfrican,700,811,5,601,1
und_German,700,1051,5,601,2
und_Portuguese,700,901,5,601,1
und_SouthSlavs,700,391,5,601,1
und_Chinese,700,721,5,601,2
und_SouthAsian,700,841,5,601,1
und_Malaysia,700,241,5,601,1
und_Jewish,700,1021,5,601,43
zxx_German,700,1051,5,541,4
zxx_French,700,961,5,541,1
zxx_Jewish,700,1021,5,541,4
zxx_Persian,700,361,5,541,1
zxx_CelticEnglish,700,991,5,541,1
zxx_Bangladesh,700,271,5,541,1
hu_CelticEnglish,700,991,5,31,1
pl_Chinese,700,721,5,61,1
sv_Spanish,700,931,5,391,1
sv_CelticEnglish,700,991,5,391,1
sv_Portuguese,700,901,5,391,1
sv_SouthAsian,700,841,5,391,1
tl_German,700,1051,5,361,1
tl_CelticEnglish,700,991,5,361,1
tl_French,700,961,5,361,1
in_German,700,1051,5,421,1
in_Jewish,700,1021,5,421,3
no_Portuguese,700,901,5,271,1
no_Spanish,700,931,5,271,1
art_German,700,1051,5,91,1
it_German,700,1051,5,301,1
it_Jewish,700,1021,5,301,1
ro_CelticEnglish,700,991,5,121,1
cs_Spanish,700,931,5,151,1
fr_Spanish,700,931,5,451,1
fr_Chinese,700,721,5,451,1
fr_Jewish,700,1021,5,451,2
et_CelticEnglish,700,991,5,331,1
et_Jewish,700,1021,5,331,1
ru_German,700,1051,5,181,1
lt_German,700,1051,5,211,1
tr_Jewish,700,1021,5,241,1
