lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
de_French,700,871,5,691,56
de_German,700,931,5,691,329
de_Nubian,700,601,5,691,11
de_EastAfrican,700,841,5,691,44
de_CelticEnglish,700,901,5,691,117
de_SouthAsian,700,751,5,691,29
de_Indonesia,700,781,5,691,42
de_Vietnam,700,571,5,691,13
de_Portuguese,700,721,5,691,34
de_Malaysia,700,91,5,691,2
de_Philippines,700,691,5,691,31
de_WestAfrican,700,631,5,691,10
de_ArabianPeninsula,700,481,5,691,4
de_Spanish,700,811,5,691,49
de_Italy,700,511,5,691,7
de_Norway,700,361,5,691,5
de_Jewish,700,661,5,691,23
de_Denmark,700,1,5,691,1
de_Chinese,700,541,5,691,10
de_South Korea,700,121,5,691,2
de_Persian,700,301,5,691,2
de_Romania,700,421,5,691,7
de_Greek,700,331,5,691,4
de_SouthAfrican,700,31,5,691,1
de_Japan,700,151,5,691,1
de_Sweden,700,181,5,691,2
de_SouthSlavs,700,61,5,691,1
de_Russian,700,241,5,691,1
de_Pakistan,700,451,5,691,1
de_Baltics,700,211,5,691,2
qme_German,700,931,5,631,4
qme_Philippines,700,691,5,631,2
qme_Indonesia,700,781,5,631,2
qme_WestAfrican,700,631,5,631,1
qme_Portuguese,700,721,5,631,1
qme_Persian,700,301,5,631,1
qme_CelticEnglish,700,901,5,631,5
qme_Chinese,700,541,5,631,1
qme_French,700,871,5,631,2
qme_Spanish,700,811,5,631,1
en_German,700,931,5,661,23
en_Philippines,700,691,5,661,5
en_EastAfrican,700,841,5,661,34
en_Nubian,700,601,5,661,7
en_Indonesia,700,781,5,661,7
en_SouthAsian,700,751,5,661,16
en_CelticEnglish,700,901,5,661,26
en_Portuguese,700,721,5,661,5
en_WestAfrican,700,631,5,661,9
en_Japan,700,151,5,661,1
en_ArabianPeninsula,700,481,5,661,4
en_Jewish,700,661,5,661,2
en_Spanish,700,811,5,661,6
en_French,700,871,5,661,90
en_Bangladesh,700,391,5,661,5
en_Pakistan,700,451,5,661,4
en_Russian,700,241,5,661,1
en_Italy,700,511,5,661,1
ar_German,700,931,5,421,2
fi_French,700,871,5,1,1
tr_SouthAsian,700,751,5,511,2
tr_Turkey,700,271,5,511,3
qht_German,700,931,5,601,6
qht_SouthAsian,700,751,5,601,1
qht_Indonesia,700,781,5,601,2
qht_CelticEnglish,700,901,5,601,1
qht_EastAfrican,700,841,5,601,1
da_SouthAsian,700,751,5,31,1
it_French,700,871,5,61,1
pt_Jewish,700,661,5,451,1
pt_German,700,931,5,451,1
pt_Portuguese,700,721,5,451,1
hi_Persian,700,301,5,541,1
hi_SouthAsian,700,751,5,541,1
hi_Pakistan,700,451,5,541,2
hi_WestAfrican,700,631,5,541,1
nl_CelticEnglish,700,901,5,91,1
tl_CelticEnglish,700,901,5,121,1
et_WestAfrican,700,631,5,151,1
ru_Russian,700,241,5,181,1
zxx_Italy,700,511,5,571,1
zxx_SouthAsian,700,751,5,571,1
zxx_WestAfrican,700,631,5,571,1
zxx_German,700,931,5,571,2
fr_EastAfrican,700,841,5,481,4
es_Spanish,700,811,5,211,1
ps_CelticEnglish,700,901,5,241,1
ur_Indonesia,700,781,5,271,1
sv_German,700,931,5,301,1
qam_EastAfrican,700,841,5,331,1
pl_French,700,871,5,361,1
und_French,700,871,5,391,1
