lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
en_de,700,841,5,691,73
en_en,700,811,5,691,962
en_qme,700,661,5,691,22
en_da,700,211,5,691,1
en_es,700,601,5,691,5
en_ar,700,481,5,691,2
en_fr,700,781,5,691,11
en_und,700,691,5,691,25
en_it,700,301,5,691,3
en_sv,700,571,5,691,2
en_iw,700,1,5,691,1
en_qht,700,751,5,691,68
en_hi,700,721,5,691,34
en_nl,700,631,5,691,2
en_fi,700,391,5,691,1
en_tl,700,451,5,691,5
en_ro,700,121,5,691,1
en_in,700,421,5,691,2
en_zxx,700,511,5,691,5
en_ht,700,151,5,691,1
en_et,700,361,5,691,2
de_de,700,841,5,721,2157
de_en,700,811,5,721,47
de_nl,700,631,5,721,4
de_qht,700,751,5,721,30
de_und,700,691,5,721,11
de_es,700,601,5,721,4
de_qme,700,661,5,721,29
de_ar,700,481,5,721,2
de_fr,700,781,5,721,5
de_eu,700,31,5,721,1
de_cs,700,61,5,721,1
de_pl,700,91,5,721,1
de_zxx,700,511,5,721,1
de_sv,700,571,5,721,4
de_fi,700,391,5,721,2
de_da,700,211,5,721,1
de_in,700,421,5,721,1
de_tr,700,541,5,721,1
de_qam,700,271,5,721,2
nl_nl,700,631,5,541,17
nl_de,700,841,5,541,2
nl_und,700,691,5,541,1
fr_fr,700,781,5,661,105
fr_qme,700,661,5,661,3
fr_en,700,811,5,661,1
fr_qht,700,751,5,661,1
fr_de,700,841,5,661,1
fa_fa,700,331,5,331,3
fa_de,700,841,5,331,1
hi_hi,700,721,5,631,34
hi_qme,700,661,5,631,5
hi_en,700,811,5,631,24
hi_in,700,421,5,631,1
hi_und,700,691,5,631,12
hi_pt,700,181,5,631,1
qme_de,700,841,5,571,9
qme_qht,700,751,5,571,4
qme_en,700,811,5,571,9
qme_qme,700,661,5,571,1
zxx_de,700,841,5,481,5
zxx_en,700,811,5,481,5
und_de,700,841,5,601,7
und_en,700,811,5,601,30
und_und,700,691,5,601,14
und_hi,700,721,5,601,4
ur_en,700,811,5,391,1
ur_qht,700,751,5,391,2
ur_ur,700,241,5,391,2
sv_sv,700,571,5,151,1
sv_de,700,841,5,151,1
in_hi,700,721,5,181,1
in_et,700,361,5,181,1
iw_ar,700,481,5,511,1
iw_de,700,841,5,511,9
iw_qme,700,661,5,511,1
iw_qht,700,751,5,511,1
iw_en,700,811,5,511,1
es_de,700,841,5,271,2
es_und,700,691,5,271,1
fi_de,700,841,5,301,2
fi_fi,700,391,5,301,1
ht_hi,700,721,5,1,1
tr_qme,700,661,5,421,2
tr_tr,700,541,5,421,5
ar_ar,700,481,5,451,1
ar_en,700,811,5,451,4
ar_qht,700,751,5,451,1
ar_de,700,841,5,451,1
tl_en,700,811,5,211,2
el_qht,700,751,5,31,1
et_qht,700,751,5,361,1
et_en,700,811,5,361,3
ro_en,700,811,5,61,1
qam_de,700,841,5,241,2
pt_en,700,811,5,91,1
is_en,700,811,5,121,1
