lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
fa_fa,700,901,5,931,39
fa_en,700,1471,5,931,25
fa_und,700,1381,5,931,2
fa_qht,700,1261,5,931,2
fa_ar,700,1201,5,931,1
fa_et,700,631,5,931,1
de_de,700,1321,5,1411,570
de_en,700,1471,5,1411,264
de_qme,700,1441,5,1411,10
de_el,700,661,5,1411,1
de_pt,700,1141,5,1411,1
de_und,700,1381,5,1411,5
de_it,700,1051,5,1411,1
de_es,700,1411,5,1411,2
de_no,700,571,5,1411,1
de_qht,700,1261,5,1411,9
de_ar,700,1201,5,1411,1
de_nl,700,1021,5,1411,1
de_sv,700,361,5,1411,1
de_fr,700,1351,5,1411,2
en_de,700,1321,5,1591,107
en_en,700,1471,5,1591,121782
en_qme,700,1441,5,1591,1161
en_es,700,1411,5,1591,215
en_und,700,1381,5,1591,587
en_tr,700,1291,5,1591,51
en_qht,700,1261,5,1591,344
en_it,700,1051,5,1591,29
en_ja,700,1231,5,1591,18
en_ca,700,991,5,1591,13
en_pt,700,1141,5,1591,60
en_ar,700,1201,5,1591,20
en_fr,700,1351,5,1591,94
en_tl,700,961,5,1591,42
en_in,700,1081,5,1591,59
en_no,700,571,5,1591,11
en_zxx,700,1111,5,1591,80
en_ht,700,721,5,1591,14
en_nl,700,1021,5,1591,32
en_cy,700,451,5,1591,7
en_da,700,541,5,1591,7
en_pl,700,931,5,1591,18
en_qam,700,1171,5,1591,192
en_art,700,871,5,1591,31
en_lt,700,121,5,1591,2
en_is,700,181,5,1591,4
en_et,700,631,5,1591,13
en_eu,700,271,5,1591,4
en_cs,700,811,5,1591,12
en_ko,700,751,5,1591,8
en_lv,700,301,5,1591,6
en_fi,700,481,5,1591,7
en_hu,700,391,5,1591,5
en_ro,700,511,5,1591,6
en_zh,700,781,5,1591,7
en_ru,700,211,5,1591,5
en_hi,700,421,5,1591,6
en_fa,700,901,5,1591,4
en_vi,700,691,5,1591,2
