lang,x,y,lang_art,Number_of_connections
ne,5,1,lang_out,1
bg,5,31,lang_out,1
ta,5,61,lang_out,1
kn,5,91,lang_out,2
gu,5,121,lang_out,2
ml,5,151,lang_out,2
sl,5,181,lang_out,3
sr,5,211,lang_out,7
lv,5,241,lang_out,9
lt,5,271,lang_out,10
is,5,301,lang_out,10
uk,5,331,lang_out,12
eu,5,361,lang_out,13
iw,5,391,lang_out,13
hu,5,421,lang_out,15
el,5,451,lang_out,21
sv,5,481,lang_out,24
ur,5,511,lang_out,25
fi,5,541,lang_out,26
cy,5,571,lang_out,29
no,5,601,lang_out,29
th,5,631,lang_out,32
ru,5,661,lang_out,34
et,5,691,lang_out,36
hi,5,721,lang_out,42
ro,5,751,lang_out,43
ko,5,781,lang_out,48
da,5,811,lang_out,50
vi,5,841,lang_out,53
ca,5,871,lang_out,57
ht,5,901,lang_out,66
fa,5,931,lang_out,70
art,5,961,lang_out,71
cs,5,991,lang_out,76
qst,5,1021,lang_out,114
nl,5,1051,lang_out,118
pl,5,1081,lang_out,118
zh,5,1111,lang_out,131
tl,5,1141,lang_out,162
qam,5,1171,lang_out,237
pt,5,1201,lang_out,279
ar,5,1231,lang_out,289
qht,5,1261,lang_out,343
in,5,1291,lang_out,394
zxx,5,1321,lang_out,476
it,5,1351,lang_out,683
ja,5,1381,lang_out,838
de,5,1411,lang_out,869
fr,5,1441,lang_out,1135
und,5,1471,lang_out,1379
tr,5,1501,lang_out,1440
qme,5,1531,lang_out,1653
es,5,1561,lang_out,2055
en,5,1591,lang_out,125085
ta,700,1,lang_in,1
bg,700,31,lang_in,1
ml,700,61,lang_in,1
ur,700,91,lang_in,1
lt,700,121,lang_in,5
uk,700,151,lang_in,5
is,700,181,lang_in,6
ru,700,211,lang_in,6
sr,700,241,lang_in,6
eu,700,271,lang_in,7
lv,700,301,lang_in,7
iw,700,331,lang_in,8
sv,700,361,lang_in,8
hu,700,391,lang_in,9
hi,700,421,lang_in,10
cy,700,451,lang_in,11
fi,700,481,lang_in,11
ro,700,511,lang_in,12
da,700,541,lang_in,14
no,700,571,lang_in,15
th,700,601,lang_in,15
et,700,631,lang_in,16
el,700,661,lang_in,19
vi,700,691,lang_in,19
ht,700,721,lang_in,22
ko,700,751,lang_in,22
zh,700,781,lang_in,28
cs,700,811,lang_in,31
qst,700,841,lang_in,34
art,700,871,lang_in,38
fa,700,901,lang_in,47
pl,700,931,lang_in,53
tl,700,961,lang_in,54
ca,700,991,lang_in,63
nl,700,1021,lang_in,69
it,700,1051,lang_in,99
in,700,1081,lang_in,116
zxx,700,1111,lang_in,118
pt,700,1141,lang_in,211
qam,700,1171,lang_in,225
ar,700,1201,lang_in,242
ja,700,1231,lang_in,404
qht,700,1261,lang_in,539
tr,700,1291,lang_in,655
de,700,1321,lang_in,700
fr,700,1351,lang_in,711
und,700,1381,lang_in,848
es,700,1411,lang_in,1349
qme,700,1441,lang_in,1500
en,700,1471,lang_in,130340
