lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
de_de,700,391,5,361,1315
de_qme,700,361,5,361,16
de_en,700,331,5,361,13
de_qht,700,301,5,361,9
de_sv,700,1,5,361,1
de_nl,700,271,5,361,5
de_zxx,700,211,5,361,4
de_fr,700,181,5,361,3
de_art,700,31,5,361,1
de_in,700,61,5,361,1
de_it,700,91,5,361,1
de_und,700,241,5,361,4
de_da,700,121,5,361,1
de_lt,700,151,5,361,1
en_de,700,391,5,331,17
en_en,700,331,5,331,4
en_qht,700,301,5,331,4
qme_de,700,391,5,301,6
qme_qme,700,361,5,301,1
art_de,700,391,5,1,1
und_und,700,241,5,181,1
und_de,700,391,5,181,1
nl_nl,700,271,5,211,2
fr_de,700,391,5,241,1
fr_qme,700,361,5,241,1
zxx_de,700,391,5,271,5
zxx_qme,700,361,5,271,1
uk_qht,700,301,5,31,1
ru_de,700,391,5,61,1
in_de,700,391,5,91,1
pl_de,700,391,5,121,1
cs_de,700,391,5,151,1
