lang,x,y,lang_art,Number_of_connections
art,5,1,lang_out,1
uk,5,31,lang_out,1
ru,5,61,lang_out,1
in,5,91,lang_out,1
pl,5,121,lang_out,1
cs,5,151,lang_out,1
und,5,181,lang_out,2
nl,5,211,lang_out,2
fr,5,241,lang_out,2
zxx,5,271,lang_out,6
qme,5,301,lang_out,7
en,5,331,lang_out,25
de,5,361,lang_out,1375
sv,700,1,lang_in,1
art,700,31,lang_in,1
in,700,61,lang_in,1
it,700,91,lang_in,1
da,700,121,lang_in,1
lt,700,151,lang_in,1
fr,700,181,lang_in,3
zxx,700,211,lang_in,4
und,700,241,lang_in,5
nl,700,271,lang_in,7
qht,700,301,lang_in,14
en,700,331,lang_in,17
qme,700,361,lang_in,19
de,700,391,lang_in,1350
