lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
de_de,700,691,5,691,3582
de_en,700,661,5,691,84
de_und,700,631,5,691,44
de_fr,700,511,5,691,12
de_et,700,481,5,691,5
de_qme,700,571,5,691,50
de_qht,700,541,5,691,43
de_nl,700,601,5,691,9
de_tl,700,1,5,691,1
de_no,700,361,5,691,3
de_sv,700,241,5,691,2
de_lt,700,271,5,691,2
de_ro,700,31,5,691,1
de_da,700,301,5,691,2
de_es,700,391,5,691,2
de_ca,700,331,5,691,2
de_eu,700,91,5,691,1
de_zxx,700,421,5,691,3
de_art,700,151,5,691,1
de_in,700,451,5,691,1
de_it,700,211,5,691,1
nl_de,700,691,5,631,4
nl_nl,700,601,5,631,53
nl_und,700,631,5,631,4
nl_en,700,661,5,631,4
ca_qme,700,571,5,511,1
ca_qht,700,541,5,511,1
ca_es,700,391,5,511,1
ca_und,700,631,5,511,1
ca_ca,700,331,5,511,1
ca_de,700,691,5,511,5
en_de,700,691,5,661,97
en_en,700,661,5,661,63
en_qme,700,571,5,661,3
en_und,700,631,5,661,9
en_in,700,451,5,661,1
en_nl,700,601,5,661,1
da_de,700,691,5,1,1
qme_qme,700,571,5,571,6
qme_de,700,691,5,571,21
qme_nl,700,601,5,571,1
qme_en,700,661,5,571,2
qme_und,700,631,5,571,1
qme_in,700,451,5,571,1
qme_zxx,700,421,5,571,1
es_de,700,691,5,481,5
und_de,700,691,5,601,39
und_en,700,661,5,601,2
und_und,700,631,5,601,14
und_qht,700,541,5,601,1
und_in,700,451,5,601,1
und_nl,700,601,5,601,1
zxx_de,700,691,5,541,10
zxx_no,700,361,5,541,1
zxx_es,700,391,5,541,1
hu_de,700,691,5,31,1
pl_pl,700,61,5,61,1
sv_de,700,691,5,391,4
tl_de,700,691,5,361,3
in_de,700,691,5,421,3
in_tr,700,181,5,421,1
no_de,700,691,5,271,2
art_de,700,691,5,91,1
it_de,700,691,5,301,2
ro_und,700,631,5,121,1
cs_cs,700,121,5,151,1
fr_de,700,691,5,451,4
et_de,700,691,5,331,1
et_en,700,661,5,331,1
ru_de,700,691,5,181,1
lt_de,700,691,5,211,1
tr_de,700,691,5,241,1
