lang,x,y,lang_art,Number_of_connections
da,5,1,lang_out,1
hu,5,31,lang_out,1
pl,5,61,lang_out,1
art,5,91,lang_out,1
ro,5,121,lang_out,1
cs,5,151,lang_out,1
ru,5,181,lang_out,1
lt,5,211,lang_out,1
tr,5,241,lang_out,1
no,5,271,lang_out,2
it,5,301,lang_out,2
et,5,331,lang_out,2
tl,5,361,lang_out,3
sv,5,391,lang_out,4
in,5,421,lang_out,4
fr,5,451,lang_out,4
es,5,481,lang_out,5
ca,5,511,lang_out,10
zxx,5,541,lang_out,12
qme,5,571,lang_out,33
und,5,601,lang_out,58
nl,5,631,lang_out,65
en,5,661,lang_out,174
de,5,691,lang_out,3851
tl,700,1,lang_in,1
ro,700,31,lang_in,1
pl,700,61,lang_in,1
eu,700,91,lang_in,1
cs,700,121,lang_in,1
art,700,151,lang_in,1
tr,700,181,lang_in,1
it,700,211,lang_in,1
sv,700,241,lang_in,2
lt,700,271,lang_in,2
da,700,301,lang_in,2
ca,700,331,lang_in,3
no,700,361,lang_in,4
es,700,391,lang_in,4
zxx,700,421,lang_in,4
in,700,451,lang_in,4
et,700,481,lang_in,5
fr,700,511,lang_in,12
qht,700,541,lang_in,45
qme,700,571,lang_in,60
nl,700,601,lang_in,65
und,700,631,lang_in,74
en,700,661,lang_in,156
de,700,691,lang_in,3788
