lang_to_lang,x_in,y_in,x_out,y_out,Number_of_connections
de_de,700,571,5,691,723
de_en,700,541,5,691,31
de_qht,700,511,5,691,48
de_qme,700,481,5,691,25
de_qam,700,1,5,691,1
de_und,700,451,5,691,9
de_nl,700,361,5,691,3
de_da,700,31,5,691,1
de_zxx,700,391,5,691,3
de_es,700,421,5,691,1
de_tl,700,61,5,691,1
qme_de,700,571,5,631,9
qme_en,700,541,5,631,4
qme_und,700,451,5,631,2
qme_qht,700,511,5,631,4
qme_qme,700,481,5,631,1
en_en,700,541,5,661,169
en_de,700,571,5,661,17
en_qme,700,481,5,661,25
en_es,700,421,5,661,1
en_qht,700,511,5,661,27
en_ht,700,91,5,661,1
en_und,700,451,5,661,3
en_ar,700,241,5,661,1
en_fi,700,151,5,661,1
en_fr,700,331,5,661,1
en_hi,700,301,5,661,1
en_pl,700,211,5,661,1
ar_ar,700,241,5,421,1
ar_fr,700,331,5,421,1
fi_de,700,571,5,1,1
tr_tr,700,271,5,511,2
tr_qht,700,511,5,511,3
qht_qht,700,511,5,601,11
qht_qme,700,481,5,601,1
da_qht,700,511,5,31,1
it_it,700,121,5,61,1
pt_und,700,451,5,451,1
pt_qht,700,511,5,451,1
pt_pt,700,181,5,451,1
hi_hi,700,301,5,541,1
hi_qht,700,511,5,541,3
hi_qme,700,481,5,541,1
nl_de,700,571,5,91,1
tl_qht,700,511,5,121,1
et_qht,700,511,5,151,1
ru_qht,700,511,5,181,1
zxx_qht,700,511,5,571,1
zxx_de,700,571,5,571,4
fr_de,700,571,5,481,3
fr_qht,700,511,5,481,1
es_es,700,421,5,211,1
ps_qht,700,511,5,241,1
ur_qht,700,511,5,271,1
sv_de,700,571,5,301,1
qam_de,700,571,5,331,1
pl_en,700,541,5,361,1
und_de,700,571,5,391,1
