lang,x,y,lang_art,Number_of_connections
fi,5,1,lang_out,1
da,5,31,lang_out,1
it,5,61,lang_out,1
nl,5,91,lang_out,1
tl,5,121,lang_out,1
et,5,151,lang_out,1
ru,5,181,lang_out,1
es,5,211,lang_out,1
ps,5,241,lang_out,1
ur,5,271,lang_out,1
sv,5,301,lang_out,1
qam,5,331,lang_out,1
pl,5,361,lang_out,1
und,5,391,lang_out,1
ar,5,421,lang_out,2
pt,5,451,lang_out,3
fr,5,481,lang_out,4
tr,5,511,lang_out,5
hi,5,541,lang_out,5
zxx,5,571,lang_out,5
qht,5,601,lang_out,12
qme,5,631,lang_out,20
en,5,661,lang_out,248
de,5,691,lang_out,846
qam,700,1,lang_in,1
da,700,31,lang_in,1
tl,700,61,lang_in,1
ht,700,91,lang_in,1
it,700,121,lang_in,1
fi,700,151,lang_in,1
pt,700,181,lang_in,1
pl,700,211,lang_in,1
ar,700,241,lang_in,2
tr,700,271,lang_in,2
hi,700,301,lang_in,2
fr,700,331,lang_in,2
nl,700,361,lang_in,3
zxx,700,391,lang_in,3
es,700,421,lang_in,3
und,700,451,lang_in,15
qme,700,481,lang_in,53
qht,700,511,lang_in,105
en,700,541,lang_in,205
de,700,571,lang_in,761
